id,source_file_id,sheet_id,form_id,status_id,report_fiscal_year,report_quarter,snapshot_date,period_scope,period_quarter,count_value,form_category,form_description,raw_row_label,raw_column_label,raw_cell_address,extraction_method,extraction_confidence,reviewed,created_at
220957,248,912,5,1,2017,1,2016-12-31,quarter,1,2117872.000,,Total - All Forms,Total - All Forms, / Forms Received2,D6,script,0.8500,f,2026-06-12 23:31:21.824926+07
220958,248,912,5,2,2017,1,2016-12-31,quarter,1,1701602.000,,Total - All Forms,Total - All Forms, / Approved3,E6,script,0.8500,f,2026-06-12 23:31:21.824926+07
220959,248,912,5,3,2017,1,2016-12-31,quarter,1,137766.000,,Total - All Forms,Total - All Forms, / Denied4,F6,script,0.8500,f,2026-06-12 23:31:21.824926+07
220960,248,912,5,4,2017,1,2016-12-31,quarter,1,4552505.000,,Total - All Forms,Total - All Forms, / Pending5,G6,script,0.8500,f,2026-06-12 23:31:21.824926+07
220965,248,912,27,1,2017,1,2016-12-31,quarter,1,12837.000,Family Based,I-129F,, / Forms Received2,D9,script,0.8500,f,2026-06-12 23:31:21.824926+07
220966,248,912,27,2,2017,1,2016-12-31,quarter,1,10179.000,Family Based,I-129F,, / Approved3,E9,script,0.8500,f,2026-06-12 23:31:21.824926+07
220967,248,912,27,3,2017,1,2016-12-31,quarter,1,2150.000,Family Based,I-129F,, / Denied4,F9,script,0.8500,f,2026-06-12 23:31:21.824926+07
220968,248,912,27,4,2017,1,2016-12-31,quarter,1,15746.000,Family Based,I-129F,, / Pending5,G9,script,0.8500,f,2026-06-12 23:31:21.824926+07
220973,248,912,70,1,2017,1,2016-12-31,quarter,1,259793.000,Family Based,I-130,, / Forms Received2,D10,script,0.8500,f,2026-06-12 23:31:21.824926+07
220974,248,912,70,2,2017,1,2016-12-31,quarter,1,134607.000,Family Based,I-130,, / Approved3,E10,script,0.8500,f,2026-06-12 23:31:21.824926+07
220975,248,912,70,3,2017,1,2016-12-31,quarter,1,13657.000,Family Based,I-130,, / Denied4,F10,script,0.8500,f,2026-06-12 23:31:21.824926+07
220976,248,912,70,4,2017,1,2016-12-31,quarter,1,1061559.000,Family Based,I-130,, / Pending5,G10,script,0.8500,f,2026-06-12 23:31:21.824926+07
220981,248,912,73,1,2017,1,2016-12-31,quarter,1,94564.000,Family Based,I-485,, / Forms Received2,D11,script,0.8500,f,2026-06-12 23:31:21.824926+07
220982,248,912,73,2,2017,1,2016-12-31,quarter,1,67416.000,Family Based,I-485,, / Approved3,E11,script,0.8500,f,2026-06-12 23:31:21.824926+07
220983,248,912,73,3,2017,1,2016-12-31,quarter,1,8499.000,Family Based,I-485,, / Denied4,F11,script,0.8500,f,2026-06-12 23:31:21.824926+07
220984,248,912,73,4,2017,1,2016-12-31,quarter,1,271136.000,Family Based,I-485,, / Pending5,G11,script,0.8500,f,2026-06-12 23:31:21.824926+07
220989,248,912,68,1,2017,1,2016-12-31,quarter,1,729.000,Family Based,I-600/600A,, / Forms Received2,D12,script,0.8500,f,2026-06-12 23:31:21.824926+07
220990,248,912,68,2,2017,1,2016-12-31,quarter,1,619.000,Family Based,I-600/600A,, / Approved3,E12,script,0.8500,f,2026-06-12 23:31:21.824926+07
220991,248,912,68,3,2017,1,2016-12-31,quarter,1,89.000,Family Based,I-600/600A,, / Denied4,F12,script,0.8500,f,2026-06-12 23:31:21.824926+07
