source_file_id,category_id,category_code,country_id,country_code,country_name,cohort_fiscal_year,cohort_quarter,snapshot_date,received,approved,denied,pending,approval_rate_received_basis,approval_rate_decided_basis,pending_share
54,4,E12,3,INDIA,India,2018,,2021-09-30,0,1231,0,0,,1.00000000000000000000,
14,11,E32,28,BRAZIL_FY24,Brazil_FY24,2019,,2024-06-30,0,603,0,0,,1.00000000000000000000,
54,1,TOTAL,71,SOUTH_KOREA,South Korea,2013,,2021-09-30,3501,3103,347,51,0.88631819480148528992,0.89942028985507246377,0.01456726649528706084
2,3,E11,1,ALL,All Countries,2024,,2025-09-30,0,11180,0,0,,1.00000000000000000000,
272,1,TOTAL,6,PHILIPPINES,Philippines,2012,,2020-09-30,3327,2749,514,64,0.82626991283438533213,0.84247624885075084278,0.01923654944394349264
125,2,EB1,1,ALL,All Countries,2023,1,2022-12-31,9095,7893,1256,12812,0.86783947223749312809,0.86271723685648704776,1.4086860912589335
2,1,TOTAL,3,INDIA,India,2015,,2025-09-30,47709,43918,3720,71,0.92053910163700769247,0.92191107939040261976,0.00148818881133538745
55,7,E21,6,PHILIPPINES,Philippines,2015,,2022-03-31,0,941,0,0,,1.00000000000000000000,
12,6,EB2,28,BRAZIL_FY24,Brazil_FY24,2014,,2024-03-31,363,338,24,1,0.93112947658402203857,0.93370165745856353591,0.00275482093663911846
256,12,EW3,6,PHILIPPINES,Philippines,2022,3,2022-06-30,0,702,0,0,,1.00000000000000000000,
12,5,E13,32,INDIA_FY24,India_FY24,2018,,2024-03-31,0,5086,0,0,,1.00000000000000000000,
102,5,E13,1,ALL,All Countries,2013,,2023-03-31,0,10144,0,0,,1.00000000000000000000,
58,13,OTHER_UNKNOWN,3,INDIA,India,2018,,2022-09-30,0,0,0,0,,,
1555,10,E31,5,BRAZIL,Brazil,2022,,2025-12-31,0,410,0,0,,1.00000000000000000000,
1555,9,EB3,5,BRAZIL,Brazil,2022,,2025-12-31,1792,1695,90,7,0.94587053571428571429,0.94957983193277310924,0.00390625000000000000
55,13,OTHER_UNKNOWN,5,BRAZIL,Brazil,2015,,2022-03-31,0,0,0,0,,,
1555,8,NIW,6,PHILIPPINES,Philippines,2020,,2025-12-31,0,33,0,0,,1.00000000000000000000,
101,1,TOTAL,1,ALL,All Countries,2019,,2022-12-31,148430,135674,12164,592,0.91406049989894226235,0.91772074838674765622,0.00398841204608232837
