Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status",,,,,,,,,,,,,,,,,,,,
Fiscal Year 2023 (Q1),,,,,,,,,,,,,,,,,,,,
,,          1st Quarter,,,,          2nd Quarter,,,,          3rd Quarter,,,,          4th Quarter,,,,        Fiscal Year Total,,
,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4
TOTAL,"40,157","43,004","4,178","47,567",,,,,,,,,,,,,"40,157","43,004","4,178","47,567"
First Preference (EB1),"9,095","7,893","1,256","12,812",,,,,,,,,,,,,"9,095","7,893","1,256","12,812"
   Alien of Extraordinary Ability (E11),"3,467","2,386",835,"6,426",,,,,,,,,,,,,"3,467","2,386",835,"6,426"
   Outstanding Professor or Researcher (E12),"1,310","1,418",120,583,,,,,,,,,,,,,"1,310","1,418",120,583
   Multi-national Executive or Manager (E13),"4,318","4,089",301,"5,803",,,,,,,,,,,,,"4,318","4,089",301,"5,803"
Second Preference (EB2),"19,764","20,695","1,938","22,639",,,,,,,,,,,,,"19,764","20,695","1,938","22,639"
   Professionals with Advanced Degrees (E21),"10,958","13,073",553,"4,190",,,,,,,,,,,,,"10,958","13,073",553,"4,190"
   National Interest Waiver (NIW),"8,806","7,622","1,385","18,449",,,,,,,,,,,,,"8,806","7,622","1,385","18,449"
Third Preference (EB3),"11,298","14,416",984,"12,116",,,,,,,,,,,,,"11,298","14,416",984,"12,116"
   Skilled Worker (E31),"4,581","5,440",347,"3,877",,,,,,,,,,,,,"4,581","5,440",347,"3,877"
   Professionals with Baccalaureate Degrees (E32),"4,302","5,836",293,"2,391",,,,,,,,,,,,,"4,302","5,836",293,"2,391"
   Needed Unskilled Workers (EW3),"2,415","3,140",344,"5,848",,,,,,,,,,,,,"2,415","3,140",344,"5,848"
Table Key:,,,,,,,,,,,,,,,,,,,,
N/A Not available,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,
3  The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,
4  The number of applications awaiting a decision as of the end of the reporting period.  Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,
"CLAIMS3, queried 02/2023, TRK 11216",,,,,,,,,,,,,,,,,,,,
