,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
TOTAL," 74,312 "," 71,578 "," 87,016 "," 102,906 "," 147,595 "," 139,390 "," 137,514 "," 148,422 "," 129,536 "," 178,776 "," 83,468 "," 1,300,513 ",,
,,,,,,,,,,,,,,
Approved," 67,017 "," 64,584 "," 79,445 "," 93,995 "," 133,965 "," 125,324 "," 124,646 "," 135,858 "," 119,512 "," 142,760 "," 51,973 "," 1,139,079 ",,
Denied," 6,772 "," 6,431 "," 6,780 "," 7,819 "," 10,576 "," 11,599 "," 11,823 "," 11,632 "," 7,477 "," 4,122 "," 1,206 "," 86,237 ",,
"Pending, Other1", 523 , 563 , 791 ," 1,092 "," 3,054 "," 2,467 "," 1,045 ", 932 ," 2,547 "," 31,894 "," 30,289 "," 75,197 ",,
,,,,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,,,,
Total Petitions," 17,611 "," 20,267 "," 22,853 "," 24,757 "," 28,727 "," 32,069 "," 28,479 "," 24,140 "," 21,391 "," 22,041 "," 12,297 "," 254,632 ",,
Approved," 14,991 "," 17,603 "," 19,829 "," 21,785 "," 25,050 "," 27,177 "," 23,207 "," 19,396 "," 17,273 "," 12,692 "," 4,541 "," 203,544 ",,
Denied," 2,477 "," 2,448 "," 2,711 "," 2,636 "," 3,327 "," 4,632 "," 5,046 "," 4,495 "," 3,618 "," 2,034 ", 712 ," 34,136 ",,
"Pending, Other1", 143 , 216 , 313 , 336 , 350 , 260 , 226 , 249 , 500 ," 7,315 "," 7,044 "," 16,952 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11)," 3,486 "," 4,219 "," 4,963 "," 5,906 "," 7,190 "," 8,475 "," 7,231 "," 4,682 "," 4,135 "," 4,314 "," 2,293 "," 56,894 ",,
Outstanding Professors or Researchers (E12)," 2,954 "," 3,239 "," 3,368 "," 3,608 "," 3,526 "," 3,816 "," 3,658 "," 3,005 "," 2,597 "," 3,115 "," 1,520 "," 34,406 ",,
Multinational Executives or Managers (E13)," 8,551 "," 10,145 "," 11,498 "," 12,271 "," 14,334 "," 14,886 "," 12,318 "," 11,709 "," 10,541 "," 5,263 ", 728 ," 112,244 ",,
,,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,,
Total Petitions," 45,516 "," 41,398 "," 49,210 "," 58,782 "," 82,531 "," 70,240 "," 69,994 "," 78,231 "," 67,601 "," 70,580 "," 43,382 "," 677,465 ",,
Approved," 42,289 "," 38,339 "," 45,970 "," 55,002 "," 77,692 "," 66,330 "," 66,485 "," 74,282 "," 63,523 "," 57,513 "," 27,491 "," 614,916 ",,
Denied," 2,994 "," 2,862 "," 3,004 "," 3,475 "," 4,327 "," 3,686 "," 3,321 "," 3,697 "," 2,356 ", 879 , 207 ," 30,808 ",,
"Pending, Other1", 233 , 197 , 236 , 305 , 512 , 224 , 188 , 252 ," 1,722 "," 12,188 "," 15,684 "," 31,741 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 42,289 "," 38,339 "," 45,970 "," 55,002 "," 77,692 "," 66,330 "," 66,485 "," 74,282 "," 63,523 "," 57,513 "," 27,491 "," 614,916 ",,
,,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,,
Total Petitions," 11,185 "," 9,913 "," 14,953 "," 19,366 "," 36,334 "," 37,076 "," 39,033 "," 46,051 "," 40,544 "," 86,155 "," 27,789 "," 368,399 ",,
Approved," 9,737 "," 8,642 "," 13,646 "," 17,207 "," 31,222 "," 31,816 "," 34,948 "," 42,180 "," 38,716 "," 72,555 "," 19,941 "," 320,610 ",,
Denied," 1,301 "," 1,121 "," 1,065 "," 1,708 "," 2,920 "," 3,279 "," 3,455 "," 3,440 "," 1,503 "," 1,209 ", 287 ," 21,288 ",,
"Pending, Other1", 147 , 150 , 242 , 451 ," 2,192 "," 1,981 ", 630 , 431 , 325 ," 12,391 "," 7,561 "," 26,501 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Skilled Workers (E31)," 3,412 "," 3,638 "," 3,771 "," 7,744 "," 11,226 "," 12,141 "," 12,038 "," 15,945 "," 14,843 "," 14,419 "," 7,061 "," 106,238 ",,
Professionals with Baccalaureate Degrees (E32)," 5,968 "," 4,600 "," 9,537 "," 8,446 "," 16,902 "," 16,426 "," 18,874 "," 20,716 "," 17,703 "," 52,071 "," 10,064 "," 181,307 ",,
Needed Unskilled Workers (EW3), 357 , 404 , 338 ," 1,017 "," 3,094 "," 3,249 "," 4,036 "," 5,519 "," 6,170 "," 6,065 "," 2,816 "," 33,065 ",,
,,,,,,,,,,,,,,
Other and Unknown3, -   , -   , -   , 1 , 3 , 5 , 8 , -   , -   , -   , -   , -   ,,
Approved, -   , -   , -   , 1 , 1 , 1 , 6 , -   , -   , -   , -   , -   ,,
Denied, -   , -   , -   , -   , 2 , 2 , 1 , -   , -   , -   , -   , -   ,,
"Pending, Other1", -   , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   ,,
Table Key:,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.,,,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,,,
"5) In FY2012 USCIS added a reason for filing field to determine the difference for E31 and E32.
",,,,,,,,,,,,,,
"6) Top five countries are determined by total number of receipts in FY2021 and they are India, China, the Philippines, South Korea, and Brazil.",,,,,,,,,,,,,,
"7) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,
"CLAIMS3, queried 05/2022, TRK 9399",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for India",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
TOTAL," 32,527 "," 31,845 "," 38,090 "," 47,707 "," 70,014 "," 62,347 "," 58,611 "," 64,913 "," 52,920 "," 96,497 "," 37,719 "," 593,190 ",,
,,,,,,,,,,,,,,
Approved," 29,669 "," 29,048 "," 35,296 "," 44,019 "," 65,321 "," 58,463 "," 55,230 "," 62,088 "," 50,940 "," 81,639 "," 25,274 "," 536,987 ",,
