"Number of Form I-140, Immigrant Petition for Alien Worker, Petitions Received and Current Status for All Countries",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1-Q4),,,,,,,,,,,,
,Fiscal Year Received,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,TOTAL
TOTAL,"71,573","87,021","102,926","147,622","139,402","137,525","148,436","129,546","178,814","165,309","189,030","1,497,204"
Approved,"64,505","79,373","94,065","134,205","124,924","124,005","134,987","119,839","168,975","153,785","140,413","1,339,076"
Denied,"6,522","6,945","8,133","11,238","12,587","12,808","12,821","9,195","9,007","9,869","6,915","106,040"
"Pending, Other1",546,703,728,"2,179","1,891",712,628,512,832,"1,655","41,702","52,088"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"20,024","22,596","24,498","28,418","31,783","28,282","24,036","21,314","21,973","25,892","36,978","285,794"
Approved,"17,602","19,834","21,812","25,072","27,129","23,123","19,367","17,457","18,489","21,729","24,253","235,867"
Denied,"2,405","2,700","2,651","3,291","4,612","5,127","4,633","3,816","3,287","3,510","2,623","38,655"
"Pending, Other1",17,62,35,55,42,32,36,41,197,653,"10,102","11,272"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),"4,219","4,963","5,924","7,205","8,450","7,167","4,674","4,206","5,398","7,188","8,138","67,532"
Outstanding Professors or Researchers (E12),"3,239","3,370","3,611","3,537","3,813","3,649","3,001","2,599","3,396","3,895","4,665","38,775"
Multinational Executives or Managers (E13),"10,144","11,501","12,277","14,330","14,866","12,307","11,692","10,652","9,695","10,646","11,450","129,560"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"40,761","48,648","58,211","81,793","69,851","69,680","77,988","67,455","70,472","84,350","92,858","762,067"
Approved,"38,272","45,907","54,951","77,605","65,955","66,049","73,763","63,864","66,737","78,960","67,624","699,687"
Denied,"2,483","2,728","3,250","4,172","3,873","3,618","4,202","3,524","3,507","4,775","3,630","39,762"
"Pending, Other1",6,13,10,16,23,13,23,67,228,615,"21,604","22,618"
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"38,272","45,907","54,951","77,605","65,955","66,049","73,763","63,864","66,737","78,960","67,624","699,687"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,"9,557","14,625","18,736","34,188","35,116","38,330","45,504","40,288","86,013","54,677","58,610","435,644"
Approved,"8,631","13,632","17,301","31,527","31,839","34,827","41,857","38,518","83,749","53,096","48,536","403,513"
Denied,922,980,"1,422","2,614","3,198","3,440","3,613","1,741","2,108","1,487",619,"22,144"
"Pending, Other1",4,13,13,47,79,63,34,29,156,94,"9,455","9,987"
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),"3,628","3,762","7,799","11,236","11,950","11,855","15,736","14,735","15,831","19,215","21,689","137,436"
Professionals with Baccalaureate Degrees (E32),"4,600","9,531","8,457","16,892","16,343","18,798","20,573","17,588","60,759","24,609","18,216","216,366"
Needed Unskilled Workers (EW3),403,339,"1,045","3,399","3,546","4,174","5,548","6,195","7,159","9,272","8,631","49,711"
Other and Unknown3,-,-,1,4,2,7,-,-,-,-,-,14
Approved,-,-,1,1,1,6,-,-,-,-,-,9
Denied,-,-,-,3,1,1,-,-,-,-,-,5
"Pending, Other1",-,-,-,-,-,-,-,-,-,-,-,-
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, Brazil, and South Korea.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) Since petitioners are able to file more than one application, this report includes all filed petition; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3 and ELIS, queried 11/2023, TRK 13222",,,,,,,,,,,,
