,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2017 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 2,117,872 "," 1,701,602 "," 137,766 "," 4,552,505 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,117,872 "," 1,701,602 "," 137,766 "," 4,552,505 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions," 12,837 "," 10,179 "," 2,150 "," 15,746 ",,,,,,,,,,,,," 12,837 "," 10,179 "," 2,150 "," 15,746 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-130,Immediate and Preference Relatives," 259,793 "," 134,607 "," 13,657 "," 1,061,559 ",,,,,,,,,,,,," 259,793 "," 134,607 "," 13,657 "," 1,061,559 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 94,564 "," 67,416 "," 8,499 "," 271,136 ",,,,,,,,,,,,," 94,564 "," 67,416 "," 8,499 "," 271,136 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-600/600A,Orphan Petitions, 729 , 619 , 89 , 441 ,,,,,,,,,,,,, 729 , 619 , 89 , 441 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-601A,Provisional Waivers," 18,134 "," 15,455 ", 946 ," 29,765 ",,,,,,,,,,,,," 18,134 "," 15,455 ", 946 ," 29,765 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-751,Remove Conditions on Residence," 36,263 "," 23,829 "," 1,444 "," 133,870 ",,,,,,,,,,,,," 36,263 "," 23,829 "," 1,444 "," 133,870 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-800/800A,Convention Country Adoptions," 1,847 "," 1,899 ", 39 , 527 ,,,,,,,,,,,,," 1,847 "," 1,899 ", 39 , 527 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions," 91,317 "," 119,143 "," 25,433 "," 119,514 ",,,,,,,,,,,,," 91,317 "," 119,143 "," 25,433 "," 119,514 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-140,Immigrant Petitions for Workers," 38,209 "," 30,852 "," 2,032 "," 56,112 ",,,,,,,,,,,,," 38,209 "," 30,852 "," 2,032 "," 56,112 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Employment-Based Adjustments," 43,407 "," 33,259 "," 1,531 "," 138,114 ",,,,,,,,,,,,," 43,407 "," 33,259 "," 1,531 "," 138,114 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-526,Petitions by Entrepreneurs," 4,395 "," 3,346 ", 236 ," 23,250 ",,,,,,,,,,,,," 4,395 "," 3,346 ", 236 ," 23,250 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-765,Employment Authorization Documents," 564,639 "," 513,011 "," 28,025 "," 479,808 ",,,,,,,,,,,,," 564,639 "," 513,011 "," 28,025 "," 479,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-829,Remove Conditions on Entrepreneur," 1,103 ", 711 , 82 ," 7,789 ",,,,,,,,,,,,," 1,103 ", 711 , 82 ," 7,789 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-924/924A,Regional Center Applications, 184 , 65 , 23 , 906 ,,,,,,,,,,,,, 184 , 65 , 23 , 906 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments," 8,933 "," 6,435 ", 316 ," 24,438 ",,,,,,,,,,,,," 8,933 "," 6,435 ", 316 ," 24,438 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Refugee Adjustments," 17,514 "," 13,943 ", 373 ," 37,171 ",,,,,,,,,,,,," 17,514 "," 13,943 ", 373 ," 37,171 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Indo Chinese Adjustments , - , - , - , D ,,,,,,,,,,,,, - , - , - , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Cuban Adjustment Act," 21,618 "," 12,068 ", 521 ," 41,464 ",,,,,,,,,,,,," 21,618 "," 12,068 ", 521 ," 41,464 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
