,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Approvals by Beneficiary State and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q3),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary State,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),"Mem of Profession w/Adv Deg, or of Exceptional Ability (E21)",Indiv w/Adv Deg or Exceptional Ability in the National Interest (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 4,940 "," 2,846 "," 7,467 "," 53,081 "," 11,477 "," 15,478 "," 33,640 "," 8,482 "," 137,411 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
California, 872 , 659 ," 1,036 "," 12,395 "," 1,006 "," 1,198 "," 8,179 ", 604 ," 25,949 ",,,,,,,,,
Texas, 477 , 367 ," 1,214 "," 7,724 "," 1,218 "," 1,308 "," 4,378 ", 679 ," 17,365 ",,,,,,,,,
Unknown, 822 , 22 , 204 ," 1,890 "," 1,910 "," 7,544 "," 1,245 "," 3,308 "," 16,945 ",,,,,,,,,
Washington, 82 , 118 , 305 ," 3,975 ", 130 , 422 ," 3,472 ", 124 ," 8,628 ",,,,,,,,,
New Jersey, 170 , 116 , 743 ," 3,261 ", 309 , 395 ," 1,943 ", 169 ," 7,106 ",,,,,,,,,
New York, 416 , 193 , 485 ," 2,219 ", 384 , 483 ," 1,589 ", 359 ," 6,128 ",,,,,,,,,
Florida, 461 , 54 , 471 ," 1,228 "," 1,438 ", 775 , 939 , 454 ," 5,820 ",,,,,,,,,
Massachusetts, 332 , 220 , 254 ," 1,903 ", 942 , 164 , 881 , 200 ," 4,896 ",,,,,,,,,
Illinois, 68 , 81 , 337 ," 1,946 ", 192 , 370 ," 1,453 ", 178 ," 4,625 ",,,,,,,,,
Virginia, 95 , 56 , 292 ," 2,015 ", 315 , 214 ," 1,114 ", 192 ," 4,293 ",,,,,,,,,
Georgia, 79 , 44 , 284 ," 1,439 ", 292 , 284 , 822 , 249 ," 3,493 ",,,,,,,,,
Pennsylvania, 197 , 124 , 184 ," 1,388 ", 464 , 209 , 706 , 78 ," 3,350 ",,,,,,,,,
North Carolina, 90 , 46 , 240 ," 1,410 ", 265 , 233 , 678 , 62 ," 3,024 ",,,,,,,,,
Michigan, 33 , 40 , 189 ," 1,302 ", 211 , 144 , 887 , 39 ," 2,845 ",,,,,,,,,
Ohio, 33 , 60 , 154 , 976 , 129 , 166 , 602 , 214 ," 2,334 ",,,,,,,,,
Maryland, 124 , 39 , 59 , 535 , 495 , 117 , 434 , 141 ," 1,944 ",,,,,,,,,
Arizona, 72 , 48 , 128 , 825 , 60 , 108 , 487 , 27 ," 1,755 ",,,,,,,,,
Oregon, 19 , 58 , 55 , 630 , 74 , 41 , 444 , 143 ," 1,464 ",,,,,,,,,
Tennessee, 19 , 39 , 68 , 458 , 91 , 271 , 242 , 163 ," 1,351 ",,,,,,,,,
Minnesota, 13 , 42 , 69 , 588 , 83 , 67 , 310 , 36 ," 1,208 ",,,,,,,,,
Connecticut, 69 , 39 , 107 , 479 , 177 , 86 , 201 , 25 ," 1,183 ",,,,,,,,,
Missouri, 17 , 24 , 49 , 487 , 66 , 57 , 219 , 251 ," 1,170 ",,,,,,,,,
Colorado, 23 , 30 , 70 , 422 , 64 , 87 , 254 , 120 ," 1,070 ",,,,,,,,,
Indiana, 20 , 26 , 58 , 384 , 79 , 48 , 206 , 43 , 864 ,,,,,,,,,
Wisconsin, 17 , 19 , 51 , 353 , 54 , 67 , 211 , 26 , 798 ,,,,,,,,,
Arkansas, 17 , 11 , 20 , 326 , 50 , 67 , 177 , 18 , 686 ,,,,,,,,,
South Carolina, 25 , 12 , 62 , 216 , 74 , 48 , 142 , 24 , 603 ,,,,,,,,,
Utah, 6 , 16 , 38 , 183 , 45 , 56 , 145 , 109 , 598 ,,,,,,,,,
Kansas, 8 , 6 , 13 , 249 , 23 , 48 , 184 , 41 , 572 ,,,,,,,,,
Iowa, 5 , 26 , 21 , 222 , 52 , 21 , 134 , 38 , 519 ,,,,,,,,,
Alabama, 17 , 35 , 19 , 118 , 109 , 33 , 143 , 23 , 497 ,,,,,,,,,
Kentucky, 25 , 13 , 24 , 174 , 79 , 33 , 71 , 25 , 444 ,,,,,,,,,
Delaware, 15 , 16 , 25 , 206 , 45 , 20 , 91 , 15 , 433 ,,,,,,,,,
Nebraska, 8 , 14 , 7 , 149 , 25 , 33 , 89 , 38 , 363 ,,,,,,,,,
New Mexico, 25 , 22 , 2 , 96 , 62 , 32 , 33 , 70 , 342 ,,,,,,,,,
Oklahoma, 20 , 16 , 14 , 75 , 72 , 29 , 76 , 40 , 342 ,,,,,,,,,
Louisiana, 23 , 11 , 6 , 105 , 97 , 25 , 44 , 18 , 329 ,,,,,,,,,
Nevada, 38 , 8 , 20 , 82 , 21 , 32 , 90 , 22 , 313 ,,,,,,,,,
New Hampshire, 9 , 6 , 14 , 125 , 20 , 16 , 61 , 23 , 274 ,,,,,,,,,
Rhode Island, 11 , 13 , 12 , 120 , 31 , 18 , 36 , 17 , 258 ,,,,,,,,,
District of Columbia, 32 , 7 , 11 , 76 , 52 , 12 , 32 , 4 , 226 ,,,,,,,,,
Mississippi, 8 , 16 , 3 , 50 , 42 , 5 , 24 , 3 , 151 ,,,,,,,,,
North Dakota, 5 , 6 , 2 , 37 , 13 , 14 , 19 , 26 , 122 ,,,,,,,,,
West Virginia, 9 , 1 , 6 , 43 , 30 , 9 , 13 , 2 , 113 ,,,,,,,,,
Idaho, -   , 10 , 7 , 41 , 21 , 8 , 20 , 3 , 110 ,,,,,,,,,
South Dakota, 4 , 3 , 1 , 28 , 8 , 9 , 36 , 13 , 102 ,,,,,,,,,
Maine, 1 , 1 , 7 , 46 , 20 , 8 , 15 , -   , 98 ,,,,,,,,,
Hawaii, 2 , 1 , 5 , 29 , 7 , 18 , 15 , 6 , 83 ,,,,,,,,,
Guam, -   , -   , 6 , 12 , -   , 4 , 26 , 3 , 51 ,,,,,,,,,
Vermont, 4 , 4 , 1 , 16 , 8 , 3 , 4 , 1 , 41 ,,,,,,,,,
Puerto Rico, 2 , 3 , 11 , 5 , 6 , 5 , 4 , -   , 36 ,,,,,,,,,
Montana, 1 , 3 , 1 , 8 , 8 , 1 , 2 , 7 , 31 ,,,,,,,,,
Northern Mariana Islands, -   , -   , -   , 4 , -   , 6 , 11 , 3 , 24 ,,,,,,,,,
Wyoming, -   , 1 , 1 , 2 , 6 , 4 , 6 , 4 , 24 ,,,,,,,,,
Alaska, -   , 1 , 2 , 6 , 3 , 2 , 1 , 1 , 16 ,,,,,,,,,
American Samoa, -   , -   , -   , -   , -   , 1 , -   , 1 , 2 ,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
1) Some petitions approved may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,
4) The counts of approved petitions represent only primary beneficiaries.  Dependents are not included.,,,,,,,,,,,,,,,,,,
"5) This report is based on the fiscal year in which the petition was approved, not the fiscal year in which the petition was submitted to USCIS. ",,,,,,,,,,,,,,,,,,
"   A petition approved in a fiscal year may have been filed in an earlier year. Therefore, this report is different from other reports that are based ",,,,,,,,,,,,,,,,,,
   on the fiscal year in which the petition was filed.,,,,,,,,,,,,,,,,,,
