,,,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status",,,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,          1st Quarter,,,,          2nd Quarter,,,,          3rd Quarter,,,,          4th Quarter,,,,        Fiscal Year Total,,
,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4
,,,,,,,,,,,,,,,,,,,,
TOTAL," 42,513 "," 36,853 "," 1,841 "," 7,057 "," 40,964 "," 43,328 "," 3,675 "," 10,988 "," 43,823 "," 57,230 "," 3,386 "," 17,883 ",,,,," 127,300 "," 137,411 "," 8,902 "," 35,928 "
,,,,,,,,,,,,,,,,,,,,
First Preference (EB1)," 6,261 "," 2,704 ", 689 ," 1,777 "," 6,042 "," 4,719 ", 921 ," 2,860 "," 6,439 "," 7,830 ", 948 ," 4,036 ",,,,," 18,742 "," 15,253 "," 2,558 "," 8,673 "
   Alien of Extraordinary Ability (E11)," 2,446 "," 1,433 ", 541 , 660 ," 2,377 "," 1,608 ", 700 , 742 ," 2,595 "," 1,899 ", 664 ," 1,283 ",,,,," 7,418 "," 4,940 "," 1,905 "," 2,685 "
   Outstanding Professor or Researcher (E12)," 1,129 ", 863 , 79 , 124 ," 1,008 ", 969 , 101 , 161 ," 1,057 "," 1,014 ", 111 , 317 ,,,,," 3,194 "," 2,846 ", 291 , 602 
   Multi-national Executive or Manager (E13)," 2,686 ", 408 , 69 , 993 ," 2,657 "," 2,142 ", 120 ," 1,957 "," 2,787 "," 4,917 ", 173 ," 2,436 ",,,,," 8,130 "," 7,467 ", 362 ," 5,386 "
Second Preference (EB2)," 21,617 "," 17,117 ", 669 ," 3,446 "," 21,760 "," 20,955 "," 1,163 "," 5,605 "," 20,993 "," 26,486 "," 1,177 "," 8,570 ",,,,," 64,370 "," 64,558 "," 3,009 "," 17,621 "
   Professionals with Advanced Degrees (E21)," 16,737 "," 15,198 ", 372 ," 1,136 "," 16,914 "," 16,871 ", 645 ," 2,290 "," 15,662 "," 21,012 ", 544 ," 3,548 ",,,,," 49,313 "," 53,081 "," 1,561 "," 2,952 "
   National Interest Waiver (NIW)," 4,880 "," 1,919 ", 297 ," 2,310 "," 4,846 "," 4,084 ", 518 ," 3,315 "," 5,331 "," 5,474 ", 633 ," 5,022 ",,,,," 15,057 "," 11,477 "," 1,448 "," 2,706 "
Third Preference (EB3)," 14,635 "," 17,032 ", 483 ," 1,834 "," 13,162 "," 17,654 "," 1,591 "," 2,523 "," 16,391 "," 22,914 "," 1,261 "," 5,277 ",,,,," 44,188 "," 57,600 "," 3,335 "," 9,634 "
   Skilled Worker (E31)," 4,336 "," 3,836 ", 152 , 446 ," 4,804 "," 5,131 ", 911 , 744 ," 7,039 "," 6,511 ", 647 ," 1,610 ",,,,," 16,179 "," 15,478 "," 1,710 "," 2,043 "
   Professionals with Baccalaureate Degrees (E32)," 7,894 "," 11,019 ", 216 , 909 ," 6,390 "," 9,554 ", 377 ," 1,378 "," 6,244 "," 13,067 ", 413 ," 2,234 ",,,,," 20,528 "," 33,640 "," 1,006 "," 1,677 "
   Needed Unskilled Workers (EW3)," 2,405 "," 2,177 ", 115 , 479 ," 1,968 "," 2,969 ", 303 , 401 ," 3,108 "," 3,336 ", 201 ," 1,433 ",,,,," 7,481 "," 8,482 ", 619 ," 1,000 "
Table Key:,,,,,,,,,,,,,,,,,,,,
N/A Not available,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,
3  The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,
4  The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,
"CLAIMS3, queried 08/2022, TRK 10180",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
