,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q3),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 7,418 "," 3,194 "," 8,130 "," 49,313 "," 15,057 "," 16,179 "," 20,528 "," 7,481 "," 127,300 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
INDIA," 1,715 "," 1,134 "," 3,796 "," 35,395 ", 820 ," 3,103 "," 10,891 ", 25 ," 56,879 ",,,,,,,,,
CHINA," 2,315 "," 1,250 ", 344 ," 6,089 "," 2,030 ", 311 ," 2,714 ", 187 ," 15,240 ",,,,,,,,,
PHILIPPINES, 23 , 4 , 45 , 270 , 52 ," 6,180 ", 988 , 721 ," 8,283 ",,,,,,,,,
BRAZIL, 381 , 41 , 439 , 351 ," 2,522 ", 317 , 305 , 863 ," 5,219 ",,,,,,,,,
"KOREA, SOUTH", 140 , 54 , 194 , 611 , 967 , 499 , 680 , 566 ," 3,711 ",,,,,,,,,
MEXICO, 74 , 11 , 295 , 455 , 181 , 283 , 617 ," 1,640 "," 3,556 ",,,,,,,,,
IRAN, 143 , 15 , 9 , 204 ," 1,638 ", 46 , 72 , 88 ," 2,215 ",,,,,,,,,
CANADA, 134 , 51 , 263 , 448 , 141 , 185 , 362 , 20 ," 1,604 ",,,,,,,,,
NEPAL, 41 , 8 , 3 , 196 , 196 , 399 , 204 , 415 ," 1,462 ",,,,,,,,,
BANGLADESH, 24 , 13 , 7 , 167 , 677 , 34 , 79 , 368 ," 1,369 ",,,,,,,,,
UNITED KINGDOM, 177 , 44 , 412 , 267 , 123 , 153 , 148 , 25 ," 1,349 ",,,,,,,,,
VENEZUELA, 181 , 8 , 71 , 110 , 459 , 136 , 255 , 127 ," 1,347 ",,,,,,,,,
NIGERIA, 55 , 11 , 19 , 128 , 578 , 429 , 94 , 24 ," 1,338 ",,,,,,,,,
COLOMBIA, 134 , 16 , 103 , 126 , 545 , 55 , 133 , 203 ," 1,315 ",,,,,,,,,
PAKISTAN, 25 , 12 , 31 , 293 , 262 , 193 , 176 , 165 ," 1,157 ",,,,,,,,,
TAIWAN, 26 , 31 , 30 , 447 , 234 , 62 , 257 , 24 ," 1,111 ",,,,,,,,,
VIETNAM, 8 , 7 , 16 , 112 , 172 , 73 , 122 , 466 , 976 ,,,,,,,,,
FRANCE, 112 , 30 , 205 , 291 , 115 , 76 , 82 , 11 , 922 ,,,,,,,,,
RUSSIA, 206 , 22 , 49 , 229 , 161 , 57 , 99 , 26 , 849 ,,,,,,,,,
KENYA, 5 , 4 , 6 , 26 , 50 , 670 , 21 , 10 , 792 ,,,,,,,,,
TURKEY, 42 , 24 , 37 , 148 , 209 , 58 , 150 , 47 , 715 ,,,,,,,,,
GERMANY, 69 , 49 , 148 , 161 , 65 , 100 , 66 , 9 , 667 ,,,,,,,,,
ITALY, 82 , 41 , 109 , 133 , 131 , 63 , 48 , 18 , 625 ,,,,,,,,,
ARGENTINA, 109 , 8 , 125 , 63 , 122 , 51 , 50 , 35 , 563 ,,,,,,,,,
JAPAN, 35 , 30 , 60 , 116 , 85 , 129 , 92 , 12 , 559 ,,,,,,,,,
SOUTH AFRICA, 51 , 3 , 130 , 58 , 49 , 107 , 51 , 85 , 534 ,,,,,,,,,
UKRAINE, 86 , 3 , 15 , 177 , 64 , 60 , 81 , 32 , 518 ,,,,,,,,,
SPAIN, 58 , 26 , 101 , 127 , 76 , 34 , 64 , 11 , 497 ,,,,,,,,,
JAMAICA, 8 , -   , 4 , 15 , 27 , 263 , 90 , 35 , 442 ,,,,,,,,,
GHANA, 6 , 3 , 2 , 49 , 78 , 254 , 24 , 8 , 424 ,,,,,,,,,
POLAND, 27 , 5 , 51 , 61 , 23 , 83 , 34 , 124 , 408 ,,,,,,,,,
ISRAEL, 34 , 21 , 78 , 77 , 56 , 43 , 48 , 9 , 366 ,,,,,,,,,
EGYPT, 17 , 9 , 25 , 95 , 140 , 24 , 38 , 14 , 362 ,,,,,,,,,
AUSTRALIA, 48 , 8 , 83 , 67 , 22 , 75 , 45 , 3 , 351 ,,,,,,,,,
THAILAND, 11 , 3 , 4 , 51 , 37 , 105 , 30 , 96 , 337 ,,,,,,,,,
ZIMBABWE, 2 , 4 , 6 , 16 , 17 , 131 , 11 , 118 , 305 ,,,,,,,,,
PERU, 27 , 2 , 19 , 51 , 99 , 15 , 43 , 43 , 299 ,,,,,,,,,
SAUDI ARABIA, 6 , 5 , 9 , 74 , 54 , 58 , 48 , 10 , 264 ,,,,,,,,,
LEBANON, 17 , 9 , 13 , 59 , 68 , 56 , 23 , 9 , 254 ,,,,,,,,,
