,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary State and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q3),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary State,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 7,418 "," 3,194 "," 8,130 "," 49,313 "," 15,057 "," 16,179 "," 20,528 "," 7,481 "," 127,300 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
California," 1,434 ", 782 ," 1,180 "," 11,456 "," 1,792 "," 1,123 "," 4,732 ", 529 ," 23,028 ",,,,,,,,,
Unknown," 1,273 ", 32 , 179 ," 1,423 "," 2,463 "," 9,007 "," 1,140 "," 2,335 "," 17,852 ",,,,,,,,,
Texas, 658 , 402 ," 1,365 "," 7,758 "," 1,070 "," 1,234 "," 2,417 ", 834 ," 15,738 ",,,,,,,,,
Washington, 144 , 137 , 384 ," 3,697 ", 253 , 324 ," 2,522 ", 326 ," 7,787 ",,,,,,,,,
Florida, 691 , 53 , 555 ," 1,184 "," 2,443 ", 632 , 680 , 559 ," 6,797 ",,,,,,,,,
New York, 640 , 208 , 540 ," 1,908 ", 936 , 456 , 973 , 266 ," 5,927 ",,,,,,,,,
New Jersey, 271 , 123 , 710 ," 3,034 ", 330 , 359 , 905 , 169 ," 5,901 ",,,,,,,,,
Massachusetts, 433 , 224 , 235 ," 1,836 ", 736 , 131 , 510 , 204 ," 4,309 ",,,,,,,,,
Illinois, 129 , 93 , 369 ," 1,799 ", 380 , 292 , 681 , 138 ," 3,881 ",,,,,,,,,
Virginia, 140 , 58 , 223 ," 1,878 ", 272 , 167 , 585 , 199 ," 3,522 ",,,,,,,,,
Georgia, 119 , 42 , 310 ," 1,378 ", 316 , 239 , 478 , 170 ," 3,052 ",,,,,,,,,
Pennsylvania, 240 , 133 , 188 ," 1,364 ", 419 , 178 , 423 , 60 ," 3,005 ",,,,,,,,,
North Carolina, 119 , 46 , 282 ," 1,441 ", 223 , 201 , 358 , 87 ," 2,757 ",,,,,,,,,
Michigan, 58 , 61 , 230 ," 1,068 ", 556 , 122 , 454 , 30 ," 2,579 ",,,,,,,,,
Ohio, 50 , 68 , 156 , 826 , 237 , 134 , 298 , 117 ," 1,886 ",,,,,,,,,
Oregon, 29 , 90 , 48 , 525 , 72 , 27 , 773 , 98 ," 1,662 ",,,,,,,,,
Arizona, 105 , 56 , 110 , 742 , 125 , 92 , 395 , 18 ," 1,643 ",,,,,,,,,
Maryland, 176 , 39 , 62 , 542 , 375 , 84 , 201 , 146 ," 1,625 ",,,,,,,,,
Tennessee, 40 , 48 , 82 , 430 , 146 , 345 , 132 , 75 ," 1,298 ",,,,,,,,,
Connecticut, 93 , 37 , 124 , 447 , 146 , 89 , 104 , 23 ," 1,063 ",,,,,,,,,
Minnesota, 26 , 60 , 78 , 522 , 133 , 64 , 135 , 36 ," 1,054 ",,,,,,,,,
Missouri, 35 , 30 , 65 , 448 , 147 , 46 , 106 , 174 ," 1,051 ",,,,,,,,,
Colorado, 33 , 29 , 85 , 374 , 131 , 81 , 161 , 83 , 977 ,,,,,,,,,
Indiana, 27 , 31 , 80 , 305 , 142 , 45 , 114 , 37 , 781 ,,,,,,,,,
Arkansas, 20 , 12 , 33 , 325 , 43 , 82 , 159 , 17 , 691 ,,,,,,,,,
Utah, 18 , 21 , 46 , 186 , 99 , 84 , 96 , 123 , 673 ,,,,,,,,,
Wisconsin, 18 , 21 , 66 , 320 , 98 , 52 , 78 , 18 , 671 ,,,,,,,,,
South Carolina, 38 , 15 , 66 , 219 , 78 , 32 , 90 , 25 , 563 ,,,,,,,,,
Kansas, 13 , 8 , 20 , 195 , 52 , 66 , 107 , 43 , 504 ,,,,,,,,,
Alabama, 32 , 39 , 22 , 122 , 84 , 36 , 109 , 17 , 461 ,,,,,,,,,
Iowa, 10 , 28 , 15 , 199 , 60 , 17 , 68 , 35 , 432 ,,,,,,,,,
Louisiana, 36 , 13 , 13 , 99 , 83 , 26 , 37 , 120 , 427 ,,,,,,,,,
Kentucky, 27 , 9 , 46 , 157 , 72 , 34 , 44 , 12 , 401 ,,,,,,,,,
New Mexico, 28 , 15 , 2 , 96 , 40 , 22 , 32 , 129 , 364 ,,,,,,,,,
Delaware, 18 , 12 , 24 , 187 , 32 , 15 , 43 , 17 , 348 ,,,,,,,,,
Oklahoma, 25 , 14 , 13 , 61 , 69 , 44 , 73 , 46 , 345 ,,,,,,,,,
Nevada, 51 , 6 , 21 , 76 , 50 , 31 , 58 , 23 , 316 ,,,,,,,,,
Nebraska, 11 , 20 , 4 , 107 , 37 , 20 , 44 , 37 , 280 ,,,,,,,,,
Rhode Island, 12 , 10 , 11 , 112 , 39 , 22 , 25 , 13 , 244 ,,,,,,,,,
New Hampshire, 7 , 7 , 13 , 114 , 23 , 15 , 35 , 23 , 237 ,,,,,,,,,
District of Columbia, 35 , 8 , 16 , 70 , 47 , 10 , 27 , 6 , 219 ,,,,,,,,,
Mississippi, 14 , 16 , 5 , 46 , 46 , 6 , 14 , 14 , 161 ,,,,,,,,,
Idaho, 2 , 9 , 10 , 35 , 30 , 2 , 12 , 7 , 107 ,,,,,,,,,
North Dakota, 4 , 6 , 1 , 22 , 22 , 22 , 12 , 13 , 102 ,,,,,,,,,
West Virginia, 10 , 4 , 4 , 46 , 19 , 6 , 9 , 4 , 102 ,,,,,,,,,
Maine, 3 , 1 , 4 , 59 , 14 , 8 , 9 , 1 , 99 ,,,,,,,,,
Hawaii, 4 , 1 , 7 , 16 , 14 , 16 , 9 , 3 , 70 ,,,,,,,,,
South Dakota, 6 , 3 , 1 , 17 , 18 , 8 , 7 , 9 , 69 ,,,,,,,,,
Guam, -   , -   , 5 , 11 , -   , 5 , 17 , 4 , 42 ,,,,,,,,,
Puerto Rico, 4 , 3 , 15 , 6 , 6 , 4 , 2 , 1 , 41 ,,,,,,,,,
Vermont, 5 , 4 , 3 , 15 , 7 , 3 , 2 , 1 , 40 ,,,,,,,,,
Northern Mariana Islands, -   , -   , -   , 1 , 1 , 9 , 22 , -   , 33 ,,,,,,,,,
Wyoming, -   , 1 , 1 , 2 , 13 , 6 , 8 , 2 , 33 ,,,,,,,,,
Montana, 1 , 4 , 2 , 3 , 12 , -   , 1 , 4 , 27 ,,,,,,,,,
Alaska, 3 , 2 , 1 , 3 , 5 , 2 , 2 , -   , 18 ,,,,,,,,,
American Samoa, -   , -   , -   , 1 , -   , 2 , -   , 1 , 4 ,,,,,,,,,
Virgin Islands, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,
"CLAIM3, queried 08/2022, TRK 10180",,,,,,,,,,,,,,,,,,
