,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 5,623 "," 3,744 "," 8,351 "," 60,413 "," 10,316 "," 18,600 "," 24,028 "," 8,569 "," 139,644 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
INDIA," 1,378 "," 1,293 "," 4,066 "," 43,841 ", 682 ," 3,734 "," 12,519 ", 29 ," 67,542 ",,,,,,,,,
CHINA," 1,832 "," 1,474 ", 317 ," 7,257 "," 1,636 ", 345 ," 3,288 ", 168 ," 16,317 ",,,,,,,,,
PHILIPPINES, 10 , 3 , 48 , 290 , 35 ," 7,066 "," 1,123 "," 1,095 "," 9,670 ",,,,,,,,,
MEXICO, 54 , 13 , 286 , 568 , 111 , 289 , 769 ," 1,937 "," 4,027 ",,,,,,,,,
BRAZIL, 266 , 57 , 446 , 442 ," 1,124 ", 391 , 353 , 880 ," 3,959 ",,,,,,,,,
"KOREA, SOUTH", 91 , 62 , 216 , 692 , 745 , 541 , 830 , 541 ," 3,718 ",,,,,,,,,
IRAN, 84 , 17 , 13 , 245 ," 1,405 ", 58 , 81 , 47 ," 1,950 ",,,,,,,,,
CANADA, 112 , 66 , 263 , 520 , 92 , 215 , 413 , 20 ," 1,701 ",,,,,,,,,
NEPAL, 21 , 8 , 1 , 241 , 173 , 428 , 256 , 464 ," 1,592 ",,,,,,,,,
UNITED KINGDOM, 162 , 55 , 433 , 309 , 83 , 173 , 182 , 26 ," 1,423 ",,,,,,,,,
BANGLADESH, 7 , 16 , 8 , 187 , 584 , 40 , 94 , 435 ," 1,371 ",,,,,,,,,
NIGERIA, 35 , 7 , 13 , 150 , 390 , 498 , 114 , 65 ," 1,272 ",,,,,,,,,
TAIWAN, 19 , 40 , 28 , 540 , 215 , 68 , 321 , 20 ," 1,251 ",,,,,,,,,
PAKISTAN, 22 , 15 , 39 , 351 , 175 , 222 , 206 , 187 ," 1,217 ",,,,,,,,,
VENEZUELA, 104 , 9 , 61 , 119 , 218 , 156 , 313 , 148 ," 1,128 ",,,,,,,,,
COLOMBIA, 84 , 19 , 92 , 159 , 281 , 66 , 156 , 226 ," 1,083 ",,,,,,,,,
VIETNAM, 8 , 7 , 13 , 123 , 154 , 82 , 148 , 492 ," 1,027 ",,,,,,,,,
FRANCE, 96 , 40 , 202 , 328 , 76 , 92 , 118 , 11 , 963 ,,,,,,,,,
KENYA, 3 , 4 , 4 , 34 , 26 , 732 , 29 , 15 , 847 ,,,,,,,,,
RUSSIA, 150 , 27 , 46 , 268 , 74 , 69 , 118 , 29 , 781 ,,,,,,,,,
TURKEY, 33 , 28 , 39 , 176 , 166 , 65 , 173 , 44 , 724 ,,,,,,,,,
GERMANY, 60 , 56 , 150 , 202 , 62 , 109 , 72 , 9 , 720 ,,,,,,,,,
ITALY, 60 , 57 , 109 , 144 , 114 , 81 , 54 , 18 , 637 ,,,,,,,,,
SOUTH AFRICA, 38 , 4 , 121 , 70 , 26 , 129 , 58 , 125 , 571 ,,,,,,,,,
JAPAN, 22 , 31 , 55 , 134 , 70 , 136 , 106 , 11 , 565 ,,,,,,,,,
ARGENTINA, 73 , 10 , 137 , 87 , 80 , 59 , 61 , 43 , 550 ,,,,,,,,,
UKRAINE, 65 , 6 , 20 , 209 , 30 , 74 , 98 , 40 , 542 ,,,,,,,,,
SPAIN, 53 , 31 , 110 , 143 , 55 , 38 , 84 , 10 , 524 ,,,,,,,,,
JAMAICA, 4 , -   , 5 , 19 , 16 , 308 , 98 , 47 , 497 ,,,,,,,,,
GHANA, -   , 3 , 5 , 54 , 51 , 317 , 27 , 34 , 491 ,,,,,,,,,
POLAND, 20 , 7 , 56 , 71 , 17 , 87 , 39 , 146 , 443 ,,,,,,,,,
ISRAEL, 33 , 22 , 72 , 89 , 44 , 48 , 63 , 8 , 379 ,,,,,,,,,
EGYPT, 13 , 12 , 23 , 110 , 114 , 32 , 46 , 19 , 369 ,,,,,,,,,
AUSTRALIA, 37 , 12 , 76 , 82 , 17 , 84 , 54 , 3 , 365 ,,,,,,,,,
THAILAND, 5 , 4 , 4 , 58 , 31 , 105 , 36 , 110 , 353 ,,,,,,,,,
ZIMBABWE, 1 , 3 , 8 , 20 , 14 , 159 , 19 , 123 , 347 ,,,,,,,,,
SAUDI ARABIA, 3 , 5 , 9 , 99 , 47 , 64 , 62 , 14 , 303 ,,,,,,,,,
LEBANON, 16 , 11 , 14 , 72 , 54 , 68 , 23 , 11 , 269 ,,,,,,,,,
JORDAN, 3 , 5 , 13 , 61 , 37 , 109 , 26 , 12 , 266 ,,,,,,,,,
