,,,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status",,,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,          1st Quarter,,,,          2nd Quarter,,,,          3rd Quarter,,,,          4th Quarter,,,,        Fiscal Year Total,,
,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4
,,,,,,,,,,,,,,,,,,,,
TOTAL," 42,526 "," 38,527 "," 1,470 "," 101,567 "," 40,977 "," 36,991 "," 1,120 "," 97,010 "," 43,848 "," 37,467 ", 932 ," 80,185 "," 37,949 "," 26,659 ", 481 ," 54,529 "," 165,300 "," 139,644 "," 4,003 "," 54,529 "
,,,,,,,,,,,,,,,,,,,,
First Preference (EB1)," 6,263 "," 4,671 ", 650 ," 19,385 "," 6,046 "," 4,350 ", 580 ," 20,094 "," 6,440 "," 4,529 ", 536 ," 17,861 "," 7,227 "," 4,168 ", 278 ," 13,902 "," 25,976 "," 17,718 "," 2,044 "," 13,902 "
   Alien of Extraordinary Ability (E11)," 2,448 "," 1,391 ", 492 ," 5,925 "," 2,383 "," 1,384 ", 452 ," 6,063 "," 2,595 "," 1,493 ", 433 ," 6,137 "," 3,055 "," 1,355 ", 231 ," 6,281 "," 10,481 "," 5,623 "," 1,608 "," 6,281 "
   Outstanding Professor or Researcher (E12)," 1,127 ", 995 , 101 ," 1,272 "," 1,007 ", 883 , 93 ," 1,228 "," 1,060 ", 924 , 87 ," 1,157 "," 1,128 ", 942 , 43 , 866 ," 4,322 "," 3,744 ", 324 , 866 
   Multi-national Executive or Manager (E13)," 2,688 "," 2,285 ", 57 ," 12,188 "," 2,656 "," 2,083 ", 35 ," 12,803 "," 2,785 "," 2,112 ", 16 ," 10,567 "," 3,044 "," 1,871 ", 4 ," 6,755 "," 11,173 "," 8,351 ", 112 ," 6,755 "
Second Preference (EB2)," 21,624 "," 19,903 ", 478 ," 40,182 "," 21,764 "," 20,057 ", 307 ," 40,511 "," 21,000 "," 17,649 ", 167 ," 34,204 "," 20,084 "," 13,120 ", 59 ," 24,967 "," 84,472 "," 70,729 "," 1,011 "," 24,967 "
   Professionals with Advanced Degrees (E21)," 16,741 "," 16,325 ", 226 ," 19,598 "," 16,919 "," 16,587 ", 146 ," 19,466 "," 15,672 "," 15,254 ", 117 ," 13,886 "," 13,167 "," 12,247 ", 54 ," 6,368 "," 62,499 "," 60,413 ", 543 ," 6,368 "
   National Interest Waiver (NIW)," 4,883 "," 3,578 ", 252 ," 20,584 "," 4,845 "," 3,470 ", 161 ," 21,045 "," 5,328 "," 2,395 ", 50 ," 20,318 "," 6,917 ", 873 , 5 ," 18,599 "," 21,973 "," 10,316 ", 468 ," 18,599 "
Third Preference (EB3)," 14,639 "," 13,953 ", 342 ," 42,000 "," 13,167 "," 12,584 ", 233 ," 36,405 "," 16,408 "," 15,289 ", 229 ," 28,120 "," 10,638 "," 9,371 ", 144 ," 15,660 "," 54,852 "," 51,197 ", 948 ," 15,660 "
   Skilled Worker (E31)," 4,336 "," 4,078 ", 156 ," 9,025 "," 4,810 "," 4,592 ", 136 ," 7,949 "," 7,058 "," 6,621 ", 121 ," 7,136 "," 3,742 "," 3,309 ", 74 ," 4,670 "," 19,946 "," 18,600 ", 487 ," 4,670 "
   Professionals with Baccalaureate Degrees (E32)," 7,896 "," 7,672 ", 112 ," 22,413 "," 6,387 "," 6,195 ", 63 ," 19,052 "," 6,242 "," 5,970 ", 68 ," 11,939 "," 4,604 "," 4,191 ", 42 ," 4,145 "," 25,129 "," 24,028 ", 285 ," 4,145 "
   Needed Unskilled Workers (EW3)," 2,407 "," 2,203 ", 74 ," 10,562 "," 1,970 "," 1,797 ", 34 ," 9,404 "," 3,108 "," 2,698 ", 40 ," 9,045 "," 2,292 "," 1,871 ", 28 ," 6,845 "," 9,777 "," 8,569 ", 176 ," 6,845 "
Table Key:,,,,,,,,,,,,,,,,,,,,
N/A Not available,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,
3  The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,
4  The number of applications awaiting a decision as of the end of the reporting period.  Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,
