,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 10,481 "," 4,322 "," 11,173 "," 62,499 "," 21,973 "," 19,946 "," 25,129 "," 9,777 "," 165,300 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
INDIA," 2,321 "," 1,517 "," 5,179 "," 45,412 "," 1,185 "," 3,886 "," 13,036 ", 40 ," 72,576 ",,,,,,,,,
CHINA," 3,422 "," 1,701 ", 521 ," 7,387 "," 2,858 ", 372 ," 3,387 ", 283 ," 19,931 ",,,,,,,,,
PHILIPPINES, 32 , 5 , 64 , 313 , 66 ," 7,482 "," 1,193 "," 1,176 "," 10,331 ",,,,,,,,,
BRAZIL, 524 , 62 , 595 , 456 ," 3,749 ", 429 , 379 , 978 ," 7,172 ",,,,,,,,,
MEXICO, 99 , 13 , 414 , 600 , 284 , 371 , 817 ," 2,150 "," 4,748 ",,,,,,,,,
"KOREA, SOUTH", 187 , 70 , 279 , 717 ," 1,334 ", 619 , 852 , 670 ," 4,728 ",,,,,,,,,
IRAN, 197 , 22 , 17 , 255 ," 2,281 ", 58 , 86 , 114 ," 3,030 ",,,,,,,,,
CANADA, 186 , 71 , 364 , 546 , 208 , 229 , 431 , 23 ," 2,058 ",,,,,,,,,
NIGERIA, 82 , 12 , 25 , 161 , 865 , 553 , 125 , 74 ," 1,897 ",,,,,,,,,
COLOMBIA, 181 , 22 , 145 , 167 , 886 , 72 , 168 , 241 ," 1,882 ",,,,,,,,,
BANGLADESH, 36 , 21 , 11 , 191 , 982 , 42 , 97 , 482 ," 1,862 ",,,,,,,,,
VENEZUELA, 258 , 10 , 95 , 134 , 688 , 171 , 334 , 163 ," 1,853 ",,,,,,,,,
NEPAL, 48 , 8 , 4 , 245 , 286 , 467 , 260 , 485 ," 1,803 ",,,,,,,,,
UNITED KINGDOM, 241 , 59 , 574 , 327 , 174 , 186 , 194 , 28 ," 1,783 ",,,,,,,,,
PAKISTAN, 40 , 19 , 50 , 359 , 645 , 240 , 212 , 208 ," 1,773 ",,,,,,,,,
TAIWAN, 35 , 42 , 43 , 554 , 326 , 72 , 330 , 34 ," 1,436 ",,,,,,,,,
FRANCE, 152 , 44 , 260 , 341 , 159 , 94 , 126 , 14 ," 1,190 ",,,,,,,,,
VIETNAM, 13 , 8 , 23 , 124 , 235 , 86 , 152 , 542 ," 1,183 ",,,,,,,,,
RUSSIA, 294 , 29 , 69 , 279 , 242 , 71 , 125 , 33 ," 1,142 ",,,,,,,,,
KENYA, 116 , 6 , 11 , 34 , 64 , 806 , 30 , 19 ," 1,086 ",,,,,,,,,
TURKEY, 55 , 35 , 60 , 182 , 283 , 71 , 183 , 51 , 920 ,,,,,,,,,
GERMANY, 91 , 65 , 207 , 206 , 110 , 119 , 80 , 12 , 890 ,,,,,,,,,
ITALY, 108 , 59 , 139 , 148 , 186 , 89 , 61 , 21 , 811 ,,,,,,,,,
ARGENTINA, 145 , 12 , 163 , 94 , 180 , 67 , 68 , 46 , 775 ,,,,,,,,,
SOUTH AFRICA, 66 , 5 , 181 , 71 , 78 , 140 , 62 , 135 , 738 ,,,,,,,,,
JAPAN, 47 , 34 , 79 , 140 , 108 , 153 , 108 , 15 , 684 ,,,,,,,,,
UKRAINE, 115 , 6 , 32 , 217 , 83 , 78 , 102 , 45 , 678 ,,,,,,,,,
SPAIN, 83 , 36 , 133 , 150 , 110 , 42 , 91 , 11 , 656 ,,,,,,,,,
GHANA, 8 , 3 , 6 , 54 , 119 , 333 , 27 , 35 , 585 ,,,,,,,,,
JAMAICA, 14 , -   , 9 , 20 , 35 , 322 , 104 , 53 , 557 ,,,,,,,,,
POLAND, 36 , 7 , 72 , 71 , 40 , 95 , 42 , 161 , 524 ,,,,,,,,,
EGYPT, 24 , 13 , 35 , 117 , 203 , 33 , 48 , 20 , 493 ,,,,,,,,,
ISRAEL, 55 , 25 , 104 , 94 , 69 , 50 , 66 , 11 , 474 ,,,,,,,,,
AUSTRALIA, 59 , 12 , 104 , 88 , 26 , 91 , 62 , 5 , 447 ,,,,,,,,,
THAILAND, 15 , 4 , 6 , 60 , 53 , 118 , 39 , 121 , 416 ,,,,,,,,,
PERU, 37 , 3 , 32 , 61 , 142 , 20 , 55 , 49 , 399 ,,,,,,,,,
ZIMBABWE, 2 , 4 , 10 , 21 , 23 , 168 , 19 , 133 , 380 ,,,,,,,,,
LEBANON, 26 , 12 , 20 , 73 , 89 , 85 , 25 , 15 , 345 ,,,,,,,,,
