,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary State and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary State,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 10,481 "," 4,322 "," 11,173 "," 62,499 "," 21,973 "," 19,946 "," 25,129 "," 9,777 "," 165,300 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
California," 2,068 "," 1,050 "," 1,626 "," 14,289 "," 2,686 "," 1,407 "," 5,652 ", 640 ," 29,418 ",,,,,,,,,
Unknown," 1,875 ", 41 , 275 ," 1,933 "," 3,645 "," 11,067 "," 1,375 "," 3,476 "," 23,687 ",,,,,,,,,
Texas, 941 , 585 ," 1,964 "," 9,815 "," 1,545 "," 1,491 "," 3,000 ", 951 ," 20,292 ",,,,,,,,,
Washington, 249 , 179 , 529 ," 4,641 ", 375 , 430 ," 3,180 ", 447 ," 10,030 ",,,,,,,,,
Florida, 950 , 67 , 751 ," 1,511 "," 3,688 ", 801 , 855 , 647 ," 9,270 ",,,,,,,,,
New York, 892 , 271 , 741 ," 2,406 "," 1,314 ", 553 ," 1,213 ", 330 ," 7,720 ",,,,,,,,,
New Jersey, 357 , 169 , 967 ," 3,938 ", 464 , 442 ," 1,117 ", 191 ," 7,645 ",,,,,,,,,
Massachusetts, 588 , 311 , 326 ," 2,282 "," 1,072 ", 168 , 637 , 241 ," 5,625 ",,,,,,,,,
Illinois, 170 , 131 , 497 ," 2,296 ", 555 , 349 , 854 , 198 ," 5,050 ",,,,,,,,,
Virginia, 205 , 82 , 327 ," 2,371 ", 437 , 227 , 719 , 238 ," 4,606 ",,,,,,,,,
Georgia, 169 , 60 , 424 ," 1,785 ", 451 , 291 , 590 , 230 ," 4,000 ",,,,,,,,,
Pennsylvania, 315 , 177 , 251 ," 1,711 ", 562 , 221 , 526 , 84 ," 3,847 ",,,,,,,,,
North Carolina, 165 , 67 , 374 ," 1,849 ", 329 , 251 , 457 , 99 ," 3,591 ",,,,,,,,,
Michigan, 90 , 84 , 286 ," 1,363 ", 832 , 150 , 572 , 30 ," 3,407 ",,,,,,,,,
Ohio, 70 , 90 , 213 ," 1,090 ", 338 , 159 , 360 , 163 ," 2,483 ",,,,,,,,,
Maryland, 232 , 57 , 88 , 707 , 517 , 108 , 256 , 170 ," 2,135 ",,,,,,,,,
Arizona, 153 , 72 , 138 , 938 , 169 , 120 , 447 , 37 ," 2,074 ",,,,,,,,,
Oregon, 41 , 127 , 71 , 621 , 105 , 40 , 843 , 130 ," 1,978 ",,,,,,,,,
Tennessee, 52 , 58 , 104 , 530 , 212 , 366 , 170 , 82 ," 1,574 ",,,,,,,,,
Missouri, 41 , 38 , 84 , 581 , 203 , 58 , 145 , 227 ," 1,377 ",,,,,,,,,
Connecticut, 121 , 46 , 165 , 569 , 195 , 114 , 137 , 27 ," 1,374 ",,,,,,,,,
Minnesota, 34 , 75 , 108 , 669 , 189 , 79 , 172 , 48 ," 1,374 ",,,,,,,,,
Colorado, 48 , 43 , 119 , 496 , 176 , 108 , 210 , 130 ," 1,330 ",,,,,,,,,
Indiana, 35 , 41 , 96 , 382 , 203 , 59 , 134 , 39 , 989 ,,,,,,,,,
Wisconsin, 29 , 24 , 85 , 404 , 135 , 73 , 89 , 23 , 862 ,,,,,,,,,
Utah, 30 , 27 , 50 , 244 , 130 , 95 , 121 , 150 , 847 ,,,,,,,,,
Arkansas, 26 , 14 , 39 , 407 , 60 , 95 , 180 , 19 , 840 ,,,,,,,,,
South Carolina, 46 , 18 , 95 , 271 , 107 , 42 , 116 , 31 , 726 ,,,,,,,,,
Kansas, 21 , 12 , 31 , 267 , 82 , 86 , 118 , 50 , 667 ,,,,,,,,,
Alabama, 42 , 53 , 31 , 146 , 114 , 50 , 122 , 32 , 590 ,,,,,,,,,
Iowa, 16 , 36 , 21 , 247 , 86 , 23 , 91 , 43 , 563 ,,,,,,,,,
Louisiana, 49 , 16 , 14 , 119 , 121 , 37 , 53 , 135 , 544 ,,,,,,,,,
Kentucky, 40 , 16 , 55 , 200 , 97 , 40 , 54 , 18 , 520 ,,,,,,,,,
Delaware, 22 , 16 , 33 , 246 , 51 , 19 , 55 , 19 , 461 ,,,,,,,,,
Nevada, 65 , 7 , 41 , 105 , 82 , 39 , 67 , 33 , 439 ,,,,,,,,,
New Mexico, 36 , 20 , 3 , 111 , 58 , 33 , 37 , 130 , 428 ,,,,,,,,,
Oklahoma, 34 , 18 , 16 , 76 , 94 , 48 , 86 , 55 , 427 ,,,,,,,,,
Nebraska, 11 , 26 , 6 , 145 , 55 , 30 , 55 , 40 , 368 ,,,,,,,,,
Rhode Island, 15 , 12 , 12 , 149 , 52 , 30 , 28 , 16 , 314 ,,,,,,,,,
New Hampshire, 10 , 8 , 18 , 144 , 41 , 20 , 48 , 23 , 312 ,,,,,,,,,
District of Columbia, 48 , 11 , 21 , 97 , 60 , 11 , 33 , 8 , 289 ,,,,,,,,,
Mississippi, 15 , 17 , 5 , 61 , 68 , 8 , 17 , 24 , 215 ,,,,,,,,,
Idaho, 3 , 14 , 14 , 46 , 40 , 5 , 13 , 8 , 143 ,,,,,,,,,
West Virginia, 15 , 6 , 4 , 51 , 35 , 7 , 12 , 4 , 134 ,,,,,,,,,
North Dakota, 6 , 7 , 1 , 25 , 27 , 25 , 14 , 21 , 126 ,,,,,,,,,
Maine, 5 , 1 , 6 , 69 , 16 , 9 , 14 , 3 , 123 ,,,,,,,,,
Hawaii, 8 , 2 , 12 , 21 , 16 , 18 , 14 , 3 , 94 ,,,,,,,,,
South Dakota, 7 , 4 , 1 , 21 , 23 , 9 , 8 , 16 , 89 ,,,,,,,,,
Vermont, 6 , 6 , 3 , 18 , 11 , 4 , 6 , 1 , 55 ,,,,,,,,,
Guam, 2 , -   , 8 , 11 , 2 , 5 , 19 , 4 , 51 ,,,,,,,,,
Puerto Rico, 8 , 3 , 18 , 8 , 6 , 4 , 3 , 1 , 51 ,,,,,,,,,
Wyoming, 1 , 1 , 1 , 5 , 17 , 6 , 8 , 3 , 42 ,,,,,,,,,
Montana, 1 , 4 , 2 , 8 , 15 , -   , 1 , 8 , 39 ,,,,,,,,,
Northern Mariana Islands, -   , -   , 1 , 1 , 1 , 12 , 23 , -   , 38 ,,,,,,,,,
Alaska, 3 , 2 , 2 , 3 , 8 , 2 , 3 , -   , 23 ,,,,,,,,,
American Samoa, -   , -   , -   , -   , -   , 2 , -   , 1 , 3 ,,,,,,,,,
Virgin Islands, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,
"CLAIM3, queried 11/2022, TRK 10805",,,,,,,,,,,,,,,,,,
