Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary State and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q1),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary State,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),"Mem of Profession w/Adv Deg, or of Exceptional Ability (E21)",Indiv w/Adv Deg or Exceptional Ability in the National Interest (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
Total,"2,386","1,418","4,089","7,622","13,073","5,836","5,440","3,140","43,004"
California,471,350,630,"1,296","2,937","1,265",259,164,"7,372"
Unknown,475,9,105,854,550,282,"3,381","1,468","7,124"
Texas,222,194,741,475,"2,072",731,277,224,"4,936"
Florida,207,26,262,983,309,206,230,148,"2,371"
Washington,44,62,199,187,870,592,97,81,"2,132"
New York,190,84,257,507,480,289,161,90,"2,058"
New Jersey,95,52,351,147,816,278,101,46,"1,886"
Massachusetts,150,101,135,344,446,178,35,59,"1,448"
Illinois,24,38,176,257,503,217,68,37,"1,320"
Virginia,42,33,137,135,429,162,49,78,"1,065"
Michigan,16,15,82,413,339,152,36,10,"1,063"
Georgia,31,18,168,134,339,154,73,60,977
Pennsylvania,85,55,94,155,343,131,42,40,945
North Carolina,34,23,137,98,416,117,60,55,940
Ohio,21,26,71,158,259,97,40,52,724
Arizona,44,36,36,69,232,115,15,66,613
Maryland,47,19,31,152,153,76,31,85,594
Oregon,9,57,31,61,132,197,9,51,547
Tennessee,12,29,35,107,122,35,154,16,510
Minnesota,13,29,46,91,151,57,11,9,407
Missouri,13,13,32,120,119,33,20,56,406
Colorado,10,15,38,79,119,53,31,16,361
Connecticut,22,18,61,57,98,45,20,11,332
Indiana,5,19,25,99,87,31,19,5,290
Wisconsin,5,8,24,68,78,27,15,3,228
Kansas,2,5,12,38,64,23,38,11,193
Utah,4,4,13,52,52,33,6,23,187
South Carolina,7,3,33,28,63,22,8,6,170
Iowa,2,10,7,47,49,25,5,4,149
Alabama,5,15,13,33,30,29,14,3,142
Kentucky,8,7,18,27,56,11,8,6,141
Arkansas,5,5,15,12,55,19,25,4,140
Louisiana,6,5,2,30,26,17,9,45,140
Nevada,15,2,17,37,25,12,15,10,133
Nebraska,2,7,1,30,33,14,10,13,110
Oklahoma,8,4,3,31,19,12,7,20,104
Delaware,5,1,8,15,46,21,2,5,103
District of Columbia,9,6,10,26,25,9,6,2,93
New Hampshire,1,1,6,18,31,9,7, -   ,73
New Mexico,4,4, -   ,16,7,11,12,12,66
Rhode Island,2,2,5,14,25,8,3,2,61
Mississippi,2, -   , -   ,19,11,7,2,17,58
Idaho,1,4,1,25,10,3, -   ,3,47
South Dakota, -   ,1, -   ,13,12,5,6,4,41
North Dakota, -   , -   , -   ,10,9,3,5,10,37
Maine,2, -   ,1,7,6,8,3,2,29
Hawaii,2, -   ,5,10,3,2,4,2,28
West Virginia,3, -   ,3,12,7,1,1,1,28
Vermont,2,1,1,4,5,1, -   ,2,16
Wyoming,1,1, -   ,8,2,3, -   ,1,16
Montana,1,1, -   ,8,2, -   , -   ,1,13
Puerto Rico, -   , -   ,6,1,1,1,3, -   ,12
Northern Mariana Islands, -   , -   ,1, -   , -   ,3,6, -   ,10
Guam, -   , -   ,3, -   , -   ,4,1,1,9
Alaska, -   , -   , -   ,5, -   , -   , -   , -   ,5
Virgin Islands, -   , -   ,1, -   , -   , -   , -   , -   ,1
Notes:,,,,,,,,,
1) Some petitions approved may have been received in previous reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
4) The counts of approved petitions represent only primary beneficiaries.  Dependents are not included.,,,,,,,,,
"5) This report is based on the fiscal year in which the petition was approved, not the fiscal year in which the petition was submitted to USCIS. ",,,,,,,,,
"   A petition approved in a fiscal year may have been filed in an earlier year. Therefore, this report is different from other reports that are based ",,,,,,,,,
   on the fiscal year in which the petition was filed.,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3, queried 02/2023, TRK 11216",,,,,,,,,
