Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary State and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q1),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary State,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
Total,"3,467","1,310","4,318","8,806","10,958","4,301","4,582","2,415","40,157"
Unknown,667,11,107,"1,396",447,222,"2,849",986,"6,685"
California,744,321,610,"1,051","2,394",876,195,151,"6,342"
Texas,342,173,819,548,"1,858",563,236,230,"4,769"
Florida,298,26,270,"1,947",268,161,213,136,"3,319"
New York,251,86,276,483,407,229,120,70,"1,922"
Washington,87,51,316,108,686,440,115,22,"1,825"
New Jersey,128,48,349,187,696,184,73,35,"1,700"
Massachusetts,198,100,130,429,399,146,31,39,"1,472"
Illinois,61,33,194,196,413,172,60,27,"1,156"
Virginia,56,39,131,172,331,122,35,78,964
Michigan,13,12,78,384,273,131,39,12,942
Georgia,41,14,167,200,281,120,67,52,942
Pennsylvania,107,47,119,166,289,92,45,76,941
North Carolina,46,18,134,128,333,80,53,30,822
Ohio,25,30,68,109,201,75,27,45,580
Maryland,64,18,37,196,113,43,29,80,580
Arizona,65,34,40,52,188,73,10,60,522
Oregon,19,42,40,32,172,87,2,22,416
Tennessee,23,25,37,68,85,34,116,26,414
Connecticut,32,23,57,67,89,28,17,15,328
Minnesota,13,18,22,60,127,48,13,13,314
Colorado,17,15,45,63,89,39,20,16,304
Missouri,11,8,22,59,112,25,19,15,271
Indiana,7,14,28,64,73,35,15,1,237
Wisconsin,5,9,34,47,68,18,14,2,197
South Carolina,15,1,29,56,47,18,12,10,188
Utah,6,1,10,71,40,24,8,21,181
Kansas,2,4,12,29,38,19,30,26,160
Alabama,7,14,11,48,27,32,12,5,156
Louisiana,11,5,4,54,26,18,4,20,142
Arkansas,6,5,19,19,47,15,22,4,137
Kentucky,8,11,9,35,57,6,7,3,136
Nevada,22,3,14,51,20,9,9,7,135
Iowa,5,14,13,28,46,19,3,3,131
Delaware,6,3,6,15,40,15, -   ,4,89
Nebraska,2,4,4,21,23,15,5,13,87
Oklahoma,11,5,2,28,13,5,2,18,84
District of Columbia,8,4,14,16,22,5,5, -   ,74
New Mexico,4,4,1,30,8,5,10,5,67
Rhode Island,8,5,11,6,22,9,5, -   ,66
New Hampshire,3,2,5,8,34,8,5,1,66
Mississippi,3,3,2,22,6,5, -   ,3,44
Idaho,3,4,4,15,9,4,2,3,44
North Dakota, -   , -   ,1,9,10,2,4,12,38
South Dakota,2,1,1,3,11,4,7,3,32
West Virginia,3, -   ,2,7,4,3, -   ,4,23
Hawaii,3, -   ,3,5,3,2,4,1,21
Maine,1, -   ,2,2,5,5,3,1,19
Puerto Rico,3, -   ,4,2,1, -   ,3, -   ,13
Guam,2, -   ,3,1, -   ,3,1,3,13
Vermont,1, -   , -   ,3,5,1, -   ,2,12
Wyoming,1,1, -   ,4,1,3, -   ,1,11
Montana,1,1, -   ,4,1,1,1,2,11
Northern Mariana Islands, -   , -   , -   , -   , -   ,1,5, -   ,6
Alaska, -   , -   ,2,2, -   ,1, -   ,1,6
Virgin Islands, -   , -   , -   , -   , -   ,1, -   , -   ,1
Notes:,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3, queried 02/2023, TRK 11216",,,,,,,,,
