Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
Total,"2,342","1,230","4,301","13,044","9,119","5,830","5,452","2,568","43,886"
INDIA,489,413,"2,116","9,455",605,894,"2,885",7,"16,864"
CHINA,869,509,207,"1,686","1,299",85,660,65,"5,380"
PHILIPPINES,9, -   ,22,43,23,"2,464",260,233,"3,054"
BRAZIL,99,14,230,104,"1,179",103,106,236,"2,071"
"KOREA, SOUTH",55,24,94,148,517,209,172,195,"1,414"
IRAN,30,10,5,52,"1,115",38,16,44,"1,310"
MEXICO,28,5,155,112,121,77,188,374,"1,060"
NIGERIA,14,6,19,51,482,237,34,33,876
NEPAL,4,2,2,52,190,183,104,211,748
BANGLADESH,8,6,4,48,519,7,21,116,729
VIETNAM,6,1,7,35,110,33,44,318,554
CANADA,59,20,147,115,87,53,69,3,553
COLOMBIA,33,2,46,38,290,18,39,63,529
PAKISTAN,3,1,23,80,224,41,54,73,499
VENEZUELA,52, -   ,27,29,229,26,58,36,457
UNITED KINGDOM,49,15,200,61,50,35,42,3,455
TAIWAN,7,13,21,127,144,19,52,16,399
KENYA,3, -   ,4,7,24,275,10,7,330
RUSSIA,92,6,40,42,99,12,27,4,322
FRANCE,26,2,87,57,68,16,29,2,287
TURKEY,19,11,23,33,131,20,37,4,278
GHANA, -   ,2,5,14,74,152,7,11,265
GERMANY,16,24,64,35,60,20,18,4,241
ITALY,21,15,46,22,73,19,23,8,227
ARGENTINA,26,4,54,18,64,21,21,10,218
EGYPT,5,6,20,29,107,12,16,8,203
JAPAN,11,12,26,23,45,35,34,2,188
SOUTH AFRICA,17,3,53,13,22,31,7,35,181
SPAIN,15,5,35,31,54,12,19,1,172
ISRAEL,18,8,58,15,26,12,13,1,151
JAMAICA,3, -   ,3,6,9,84,30,8,143
THAILAND,4,1,5,10,20,57,8,37,142
JORDAN, -   ,3,4,18,26,66,7,7,131
UKRAINE,22,2,8,24,33,16,11,14,130
LEBANON,4,1,14,16,40,24,10,7,116
ZIMBABWE,3,1,2,7,12,56,4,23,108
PERU,7,2,7,15,50,3,4,9,97
AUSTRALIA,3,4,36,5,15,21,11,2,97
POLAND,5,3,15,7,23,14,7,19,93
SRI LANKA,3,4,6,18,46,3,3,4,87
CHILE,7,2,17,10,32,9,8,1,86
ECUADOR,3,2,6,7,44,6,5,12,85
IRELAND,5,3,35,5,7,11,18, -   ,84
MALAYSIA,1,3,15,10,14,9,26,2,80
ETHIOPIA,5,2,2,12,34,9,8, -   ,72
HONG KONG,3,3,12,13,18,4,9,9,71
INDONESIA,2,1,5,8,21,5,20,8,70
NIGER, -   , -   , -   ,12,13,36,5,3,69
SAUDI ARABIA,2, -   , -   ,14,29,13,7,3,68
KAZAKHSTAN,11,1,7,2,39,2,4,1,67
SOVIET UNION,27, -   ,3,2,28,1,2,2,65
ROMANIA,5,4,13,15,8,9,4,3,61
SINGAPORE, -   ,1,11,18,11,3,16, -   ,60
NETHERLANDS,8,2,23,10,10,4,3, -   ,60
GREECE,5,7,2,11,20,1,7,3,56
EL SALVADOR,3, -   ,1,2,6,8,4,28,52
UNITED ARAB EMIRATES,3, -   ,4,13,11,9,4,2,46
CAMBODIA, -   , -   , -   ,1,3, -   , -   ,41,45
COSTA RICA, -   , -   ,22,7,6,5,3,2,45
MOROCCO, -   , -   ,5,7,19, -   ,7,4,42
UZBEKISTAN,4, -   ,1,4,18,4,2,7,40
GUATEMALA,1, -   ,8,4,7, -   ,3,17,40
MONGOLIA,1, -   , -   ,3,8,5,3,18,38
DOMINICAN REPUBLIC,3, -   ,3,5,23,1,1,2,38
CAMEROON,3, -   , -   ,2,14,9,2,7,37
ALBANIA, -   ,1,4,2,4,4,4,17,36
ARMENIA,9,1,2,5,8,4,3,1,33
HUNGARY,3, -   ,10,5,8,3,3,1,33
SWITZERLAND,7,1,6,4,10,2,2,1,33
SWEDEN,3, -   ,12,4,4,5,5, -   ,33
KUWAIT,1, -   ,1,4,9,7,8,2,32
HONDURAS,1, -   ,7,1,7,4,3,9,32
IRAQ,1,1,1, -   ,25,1, -   ,2,31
BELGIUM,4, -   ,14,5,4,3,1, -   ,31
NEW ZEALAND,1,3,10,5,7,1,2,1,30
BELARUS,4,1,4,2,10,1,6,1,29
TRINIDAD AND TOBAGO,2,3,2,3,5,10,2,2,29
UGANDA, -   ,1, -   ,2,11,13, -   ,1,28
PORTUGAL,2, -   ,7,6,9,1,2, -   ,27
LIBYA,1, -   ,1,4,20,1, -   , -   ,27
UNKNOWN,3,2,3,2,8,3,1,4,26
BURMA, -   , -   , -   ,3,2,2,2,16,25
BOLIVIA, -   , -   ,3,2,13,2,3,2,25
GEORGIA,10, -   ,1,2,8,1, -   ,3,25
SYRIA,1, -   ,1,4,11,4,2,1,24
