Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
Total,"3,331","1,223","3,219","13,668","7,889","6,099","5,465","2,622","43,513"
INDIA,562,398,"1,615","10,028",409,940,"2,891",5,"16,848"
CHINA,"1,435",500,165,"1,737","1,059",95,626,19,"5,636"
PHILIPPINES,8,1,22,34,20,"2,551",277,201,"3,114"
BRAZIL,130,18,156,114,"1,076",118,101,325,"2,038"
"KOREA, SOUTH",58,34,75,147,398,199,174,120,"1,205"
MEXICO,36,6,116,109,103,48,193,441,"1,052"
IRAN,47,9,7,59,825,71,17,10,"1,044"
NIGERIA,30,6,10,53,450,246,37,29,860
PAKISTAN,14,3,20,91,513,47,50,75,813
NEPAL,16,2,2,52,97,217,110,220,716
COLOMBIA,50,3,33,33,418,19,47,109,712
BANGLADESH,13,6,5,27,416,9,19,149,644
VIETNAM,6,1,6,45,53,33,39,339,522
CANADA,59,20,94,114,77,61,72,1,498
VENEZUELA,62,1,22,23,243,23,38,56,468
UNITED KINGDOM,55,19,138,62,40,34,44,4,396
TAIWAN,16,11,26,122,97,23,57,8,360
KENYA,14, -   ,3,9,18,299,10,6,359
RUSSIA,122,5,21,46,116,10,30,4,354
GHANA,3,4,1,12,65,155,7,10,257
FRANCE,30,5,52,67,47,19,25,5,250
TURKEY,23,10,30,29,68,26,38,8,232
GERMANY,25,23,50,34,40,20,26,4,222
ARGENTINA,38,3,45,20,59,15,22,11,212
ITALY,15,13,30,24,49,21,19,7,178
SOUTH AFRICA,12,3,38,14,24,36,9,36,172
EGYPT,9,5,17,21,72,15,16,8,163
SPAIN,19,8,33,27,36,12,23,3,161
THAILAND,7, -   ,3,12,20,71,6,40,159
JAPAN,9,13,15,23,24,30,35,5,154
JAMAICA,5,1,1,9,10,82,33,11,152
KAZAKHSTAN,43,1,6,3,63,6,7,1,130
JORDAN,1,2,6,18,20,71,5,6,129
UKRAINE,27,4,13,22,17,14,16,14,127
PERU,8,1,9,15,63,5,4,6,111
ISRAEL,17,5,22,17,18,12,11,1,103
ZIMBABWE,3, -   ,4,5,5,60,4,21,102
ECUADOR,4,2,7,9,47,6,6,14,95
CHILE,8,2,11,11,48,5,5,2,92
POLAND,9,6,16,9,14,8,9,15,86
SOVIET UNION,53, -   ,3,4,15, -   ,3,1,79
NIGER,3, -   , -   ,12,18,37,5,3,78
SRI LANKA,5,2,6,14,38,3,4,5,77
MALAYSIA,2,3,6,10,17,8,27,1,74
AUSTRALIA,3,6,22,4,9,20,9,1,74
LEBANON,2,1,8,12,15,23,9,4,74
SAUDI ARABIA,4, -   ,3,13,28,9,12,3,72
UZBEKISTAN,24, -   ,3,2,26,4,1,6,66
IRELAND,5,3,17,7,6,8,17,2,65
ETHIOPIA,2,1, -   ,13,23,6,9,9,63
ROMANIA,3,3,10,18,6,11,6,3,60
HONG KONG,3,3,3,19,15,3,10,3,59
SINGAPORE,4,1,3,22,7,4,17, -   ,58
INDONESIA,2,3,4,7,8,6,19,9,58
GREECE,8,6,3,6,17,1,7,4,52
NETHERLANDS,7,3,11,10,10,5,4, -   ,50
DOMINICAN REPUBLIC,6, -   ,5,6,25,1,4,3,50
MONGOLIA,2, -   , -   ,4,17,2,5,17,47
COSTA RICA,1, -   ,15,5,12,5,3,6,47
NORTH MACEDONIA,1, -   ,1,1, -   ,5,2,32,42
UNITED ARAB EMIRATES,1, -   ,4,16,8,7,3,3,42
HONDURAS,4,1,4,1,19,4,2,6,41
CAMBODIA, -   , -   , -   , -   ,1,1,1,36,39
EL SALVADOR,4, -   ,5,2,9,6,4,7,37
CAMEROON,2, -   , -   ,2,11,13,2,6,36
SWEDEN,6, -   ,10,5,2,6,4,1,34
ARMENIA,11, -   ,3,3,3,5,5,2,32
TRINIDAD AND TOBAGO,1,2,2,3,7,12,3,2,32
NEW ZEALAND,3,3,9,6,6,1,2,1,31
ALBANIA,1,1, -   ,3,3,2,5,16,31
MOROCCO,2, -   ,3,7,8, -   ,6,5,31
BELARUS,8,1,8,1,8,1,4, -   ,31
KUWAIT,2, -   ,2,6,1,10,6,3,30
SWITZERLAND,6,1,9,2,5,1,3,1,28
UNKNOWN,4,1,5,3,7,4,2,2,28
UGANDA,1, -   , -   ,4,8,13, -   ,1,27
PORTUGAL,3, -   ,7,7,7, -   ,1,1,26
BOLIVIA,2, -   ,1,2,16,1,2,1,25
GEORGIA,12,1,1,2,7, -   , -   ,1,24
GUATEMALA,1, -   ,3,3,5, -   ,5,6,23
HUNGARY,1,1,5,4,4,2,2,3,22
IRAQ,2,1, -   ,1,13,2,1,2,22
KYRGYZSTAN,5, -   , -   ,1,15, -   , -   , -   ,21
BELGIUM,5, -   ,5,3,4,2,1, -   ,20
DENMARK,2,1,7,4,5, -   , -   , -   ,19
