"Form I-140, Immigrant Petition for Alien Worker",,,,,,,,,,,
Number of Petitions Received and Current Status for India,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,
Fiscal Years 2012 to 2021,,,,,,,,,,,
,,,,,,,,,,,
Petitions by Employment Preference, Fiscal Year Received ,,,,,,,,,, Grand Total 
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,,,,,,,,,,
Total Petitions,"32,602","31,863","38,090","47,707","70,015","62,346","58,610","64,913","52,920","96,313","555,379"
,,,,,,,,,,,
Approved,"29,723","29,076","35,275","44,070","65,480","58,507","55,321","62,216","50,765","62,696","493,129"
Denied,"2,775","2,696","2,687","3,525","4,356","3,709","3,195","2,569","1,541",834,"27,887"
"Pending, Other1",104,91,128,112,179,130,94,128,614,"32,783","34,363"
,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,
Total Petitions,"4,159","5,137","6,936","6,748","8,540","9,465","8,766","7,889","6,996","8,165","72,801"
Approved,"3,592","4,634","6,359","6,127","7,737","8,505","7,584","6,880","6,070","2,800","60,288"
Denied,557,478,536,597,771,911,"1,154",967,730,385,"7,086"
"Pending, Other1",10,25,41,24,32,49,28,42,196,"4,980","5,427"
,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),412,632,820,942,"1,128","1,390","1,269",943,856,990,"9,382"
Outstanding Professors or Researchers (E12),766,948,983,"1,020","1,075","1,136","1,231",933,832,993,"9,917"
Multinational Executives or Managers (E13),"2,414","3,054","4,556","4,165","5,534","5,979","5,084","5,004","4,382",817,"40,989"
,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,
Total Petitions,"23,777","22,830","26,981","34,115","50,803","43,662","41,200","45,187","36,463","38,994","364,012"
Approved,"22,028","21,020","25,082","31,683","47,762","41,298","39,569","43,957","35,496","27,970","335,865"
Denied,"1,669","1,752","1,820","2,356","2,922","2,297","1,582","1,169",593,194,"16,354"
"Pending, Other1",80,58,79,76,119,67,49,61,374,"10,830","11,793"
,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"22,028","21,020","25,082","31,683","47,762","41,298","39,569","43,957","35,496","27,970","335,865"
,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,
Total Petitions,"4,597","3,878","4,173","6,843","10,671","9,218","8,644","11,836","9,461","49,154","118,475"
Approved,"4,069","3,411","3,834","6,259","9,981","8,704","8,168","11,379","9,199","31,926","96,930"
Denied,514,459,331,572,662,500,459,432,218,255,"4,402"
"Pending, Other1",14,8,8,12,28,14,17,25,44,"16,973","17,143"
,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,
Skilled Workers (E31),"1,508","1,416","1,246","3,056","4,020","4,273","2,966","3,980","3,357","3,662","29,484"
Professionals with Baccalaureate Degrees (E32),"2,553","1,982","2,581","3,194","5,935","4,412","5,177","7,348","5,820","28,240","67,242"
Needed Unskilled Workers (EW3),8,13,7,9,26,19,25,51,22,24,204
,,,,,,,,,,,
Other and Unknown,69,18, -   ,1,1,1, -   ,1, -   , -   ,91
Approved,34,11, -   ,1, -   , -   , -   , -   , -   , -   ,46
Denied,35,7, -   , -   ,1,1, -   ,1, -   , -   ,45
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,
,,,,,,,,,,,
"Form I-140, Immigrant Petition for Alien Worker",,,,,,,,,,,
Number of Petitions Received and Current Status for China,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,
Fiscal Years 2012 to 2021,,,,,,,,,,,
,,,,,,,,,,,
Petitions by Employment Preference, Fiscal Year Received ,,,,,,,,,, Grand Total 
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,,,,,,,,,,
