,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,
Fiscal Years 2013 to 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,        Fiscal Year Received ,,,,,,,,
Petitions by Employment Preference,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,
TOTAL," 71,524 "," 86,972 "," 102,890 "," 147,572 "," 139,358 "," 137,508 "," 148,430 "," 129,536 "," 178,810 "," 165,299 "," 1,307,899 ",,
,,,,,,,,,,,,,
Approved," 64,513 "," 79,393 "," 94,127 "," 134,366 "," 125,298 "," 124,477 "," 135,756 "," 120,266 "," 166,920 "," 140,157 "," 1,185,273 ",,
Denied," 5,745 "," 6,309 "," 7,220 "," 9,829 "," 11,202 "," 11,695 "," 11,778 "," 8,066 "," 6,204 "," 4,029 "," 82,077 ",,
"Pending, Other1", 36 , 112 , 75 , 196 , 311 , 311 , 310 , 895 ," 5,456 "," 20,968 "," 28,670 ",,
,,,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,,,
Total Petitions," 20,013 "," 22,585 "," 24,483 "," 28,419 "," 31,781 "," 28,311 "," 24,079 "," 21,339 "," 22,011 "," 25,950 "," 248,971 ",,
Approved," 17,593 "," 19,828 "," 21,799 "," 25,070 "," 27,138 "," 23,170 "," 19,418 "," 17,422 "," 17,578 "," 17,836 "," 206,852 ",,
Denied," 2,396 "," 2,679 "," 2,636 "," 3,270 "," 4,569 "," 5,041 "," 4,538 "," 3,684 "," 2,605 "," 2,065 "," 33,483 ",,
"Pending, Other1", 24 , 78 , 48 , 79 , 74 , 100 , 123 , 233 ," 1,828 "," 6,049 "," 8,636 ",,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11)," 5,684 "," 6,450 "," 7,405 "," 9,011 "," 11,376 "," 10,870 "," 8,302 "," 7,226 "," 7,988 "," 10,481 "," 84,793 ",,
Outstanding Professors or Researchers (E12)," 3,348 "," 3,546 "," 3,774 "," 3,661 "," 3,982 "," 4,010 "," 3,346 "," 2,934 "," 3,766 "," 4,323 "," 36,690 ",,
Multinational Executives or Managers (E13)," 11,224 "," 12,847 "," 13,579 "," 16,057 "," 16,707 "," 13,595 "," 12,491 "," 11,220 "," 10,282 "," 11,173 "," 129,175 ",,
,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,
Total Petitions," 40,730 "," 48,614 "," 58,198 "," 81,809 "," 69,830 "," 69,663 "," 78,043 "," 67,495 "," 70,523 "," 84,425 "," 669,330 ",,
Approved," 38,291 "," 45,934 "," 55,014 "," 77,781 "," 66,213 "," 66,321 "," 74,164 "," 64,094 "," 66,106 "," 71,031 "," 624,949 ",,
Denied," 2,431 "," 2,661 "," 3,171 "," 4,007 "," 3,583 "," 3,315 "," 3,813 "," 2,821 "," 1,843 "," 1,023 "," 28,668 ",,
"Pending, Other1", 8 , 19 , 13 , 21 , 34 , 27 , 66 , 580 ," 2,574 "," 12,371 "," 15,713 ",,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 36,447 "," 43,742 "," 52,652 "," 75,861 "," 62,409 "," 61,651 "," 65,719 "," 53,289 "," 55,997 "," 62,501 "," 570,268 ",,
,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,
Total Petitions," 9,551 "," 14,615 "," 18,740 "," 34,160 "," 35,211 "," 38,502 "," 45,722 "," 40,393 "," 86,046 "," 54,779 "," 377,719 ",,
Approved," 8,629 "," 13,631 "," 17,313 "," 31,514 "," 31,946 "," 34,980 "," 42,174 "," 38,750 "," 83,236 "," 51,290 "," 353,463 ",,
