"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1),,,,,,,,,,,,
, Fiscal Year Received ,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023, TOTAL 
TOTAL,"71,521","86,972","102,890","147,572","139,358","137,508","148,430","129,537","178,810","165,303","40,157","1,348,058"
Approved,"64,499","79,391","94,107","134,309","125,247","124,429","135,674","120,350","168,491","149,564","28,020","1,224,081"
Denied,"6,465","6,857","8,038","10,977","12,048","12,237","12,164","8,482","7,337","5,931",486,"91,022"
"Pending, Other1",557,724,745,"2,286","2,063",842,592,705,"2,982","9,808","11,651","32,955"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"20,014","22,580","24,486","28,414","31,787","28,305","24,074","21,340","21,994","25,936","9,087","258,017"
Approved,"17,592","19,829","21,798","25,068","27,138","23,162","19,416","17,453","18,133","19,943","4,518","214,050"
Denied,"2,402","2,682","2,648","3,273","4,590","5,072","4,567","3,720","2,900","2,697",289,"34,840"
"Pending, Other1",20,69,40,73,59,71,91,167,961,"3,296","4,280","9,127"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),"4,215","4,959","5,919","7,203","8,451","7,192","4,693","4,201","5,174","6,190","1,697","59,894"
Outstanding Professors or Researchers (E12),"3,235","3,370","3,604","3,534","3,813","3,652","3,004","2,600","3,394","3,874","1,202","35,282"
Multinational Executives or Managers (E13),"10,142","11,500","12,275","14,331","14,874","12,318","11,719","10,652","9,565","9,879","1,619","118,874"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"40,728","48,611","58,194","81,808","69,832","69,674","78,032","67,495","70,515","84,402","19,760","689,051"
Approved,"38,282","45,924","54,997","77,729","66,166","66,265","74,099","64,161","66,725","76,904","13,209","644,461"
Denied,"2,439","2,669","3,186","4,060","3,636","3,384","3,888","3,070","2,455","1,970",59,"30,816"
"Pending, Other1",7,18,11,19,30,25,45,264,"1,335","5,528","6,492","13,774"
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"34,047","41,204","49,501","71,781","59,194","59,164","63,778","52,048","54,956","61,523","10,278","557,474"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,"9,546","14,615","18,738","34,170","35,224","38,526","45,742","40,399","86,045","54,727","11,281","389,013"
Approved,"8,625","13,638","17,311","31,511","31,942","34,996","42,159","38,736","83,633","52,717","10,293","365,561"
Denied,917,962,"1,413","2,572","3,081","3,361","3,476","1,616","1,903","1,196",133,"20,630"
"Pending, Other1",4,15,14,87,201,169,107,47,509,814,855,"2,822"
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),"3,626","3,764","7,800","11,245","12,073","12,013","15,926","14,845","15,862","19,123","4,278","120,555"
Professionals with Baccalaureate Degrees (E32),"4,596","9,534","8,462","16,899","16,390","18,859","20,664","17,669","60,706","24,528","4,073","202,380"
Needed Unskilled Workers (EW3),403,340,"1,049","3,367","3,479","4,124","5,569","6,222","7,065","9,066","1,942","42,626"
Other and Unknown3, -   , -   ,1,3,2,7, -   , -   , -   , -   , -   ,13
Approved, -   , -   ,1,1,1,6, -   , -   , -   , -   , -   ,9
Denied, -   , -   , -   ,2,1,1, -   , -   , -   , -   , -   ,4
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, South Korea, and Mexico.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3, queried 02/2023, TRK 11214",,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for India",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1),,,,,,,,,,,,
, Fiscal Year Received ,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023, TOTAL 
TOTAL,"31,819","38,064","47,698","69,998","62,329","58,612","64,917","52,921","96,515","72,579","14,205","609,657"
Approved,"28,995","35,264","44,007","65,347","58,334","55,072","61,899","50,806","93,394","69,961","11,669","574,748"
Denied,"2,722","2,687","3,609","4,506","3,864","3,439","2,934","2,026","2,552","1,389",98,"29,826"
"Pending, Other1",102,113,82,145,131,101,84,89,569,"1,229","2,438","5,083"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"5,102","6,892","6,721","8,506","9,425","8,752","7,880","6,984","8,162","9,008","3,397","80,829"
Approved,"4,632","6,375","6,122","7,736","8,504","7,585","6,893","6,193","7,135","7,605","1,639","70,419"
Denied,468,514,596,766,911,"1,161",977,775,821,672,67,"7,728"
"Pending, Other1",2,3,3,4,10,6,10,16,206,731,"1,691","2,682"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),632,820,940,"1,128","1,391","1,267",944,894,"1,333","1,499",346,"11,194"
Outstanding Professors or Researchers (E12),946,988,"1,019","1,075","1,136","1,228",932,840,"1,229","1,336",431,"11,160"
Multinational Executives or Managers (E13),"3,054","4,567","4,163","5,533","5,977","5,090","5,017","4,459","4,573","4,770",862,"48,065"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"22,387","26,614","33,797","50,522","43,522","41,084","45,114","36,413","38,976","46,548","8,254","393,231"
Approved,"20,961","25,058","31,628","47,651","41,159","39,355","43,702","35,464","38,170","45,738","7,578","376,464"
Denied,"1,423","1,549","2,167","2,862","2,347","1,727","1,406",935,730,478,20,"15,644"
"Pending, Other1",3,7,2,9,16,2,6,14,76,332,656,"1,123"
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"20,442","24,482","30,911","46,999","40,495","38,746","42,908","34,336","37,050","44,702","7,371","368,442"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,"3,755","4,130","6,777","10,610","9,179","8,618","11,800","9,444","49,276","16,937","2,550","133,076"
Approved,"3,402","3,831","6,256","9,960","8,671","8,132","11,304","9,149","48,089","16,618","2,452","127,864"
Denied,350,298,518,644,506,486,491,290,956,198,10,"4,747"
"Pending, Other1",3,1,3,6,2, -   ,5,5,231,121,88,465
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),"1,412","1,245","3,055","4,014","4,250","2,944","3,966","3,363","4,731","3,798",472,"33,250"
Professionals with Baccalaureate Degrees (E32),"1,977","2,579","3,192","5,920","4,402","5,163","7,287","5,765","43,320","12,788","1,976","94,369"
Needed Unskilled Workers (EW3),13,7,9,26,19,25,51,21,38,32,4,245
Other and Unknown3, -   , -   ,1,1,1, -   , -   , -   , -   , -   , -   ,3
Approved, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   ,1
Denied, -   , -   , -   ,1,1, -   , -   , -   , -   , -   , -   ,2
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, South Korea, and Mexico.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3, queried 02/2023, TRK 11214",,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for China",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1),,,,,,,,,,,,
, Fiscal Year Received ,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023, TOTAL 
TOTAL,"7,629","12,612","11,599","16,980","17,493","18,694","20,489","20,039","24,707","19,935","5,087","175,264"
Approved,"6,977","11,719","10,705","15,341","15,658","16,769","18,204","18,235","23,135","17,639","3,612","157,994"
Denied,573,744,683,"1,049","1,460","1,787","2,150","1,666","1,213","1,169",157,"12,651"
"Pending, Other1",79,149,211,590,375,138,135,138,359,"1,127","1,318","4,619"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"3,660","4,377","4,800","5,257","6,065","5,937","5,597","4,379","4,407","5,638","2,175","52,292"
Approved,"3,247","3,818","4,308","4,609","4,954","4,527","3,749","2,981","3,329","3,963","1,254","40,739"
Denied,408,523,468,608,"1,092","1,407","1,799","1,304",829,958,146,"9,542"
"Pending, Other1",5,36,24,40,19,3,49,94,249,717,775,"2,011"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),"1,415","1,787","2,088","2,362","2,712","2,377","1,752","1,301","1,567","2,023",691,"20,075"
Outstanding Professors or Researchers (E12),"1,352","1,402","1,485","1,316","1,336","1,314","1,172","1,024","1,330","1,524",492,"13,747"
Multinational Executives or Managers (E13),480,629,735,931,906,836,825,656,432,416,71,"6,917"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"3,445","4,067","5,141","7,535","6,415","8,211","10,832","10,899","9,881","10,240","2,272","78,938"
Approved,"3,352","3,965","5,055","7,377","6,217","7,981","10,572","10,604","9,587","9,773","1,745","76,228"
Denied,93,101,85,153,193,229,260,278,234,159,10,"1,795"
"Pending, Other1", -   ,1,1,5,5,1, -   ,17,60,308,517,915
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"2,521","3,291","4,338","6,625","5,446","7,200","8,556","7,921","7,620","7,331","1,283","62,132"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,403,"4,006","1,394","3,565","4,704","4,437","3,980","4,731","10,384","4,032",637,"42,273"
Approved,378,"3,936","1,342","3,355","4,486","4,261","3,883","4,650","10,219","3,903",613,"41,026"
Denied,25,67,51,161,135,130,78,80,143,45,1,916
"Pending, Other1", -   ,3,1,49,83,46,19,1,22,84,23,331
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),84,97,173,386,377,346,416,372,469,355,52,"3,127"
Professionals with Baccalaureate Degrees (E32),257,"3,811","1,074","2,694","3,932","3,744","3,285","4,163","9,634","3,338",555,"36,487"
Needed Unskilled Workers (EW3),37,28,95,275,177,171,182,115,116,210,6,"1,412"
Other and Unknown 3, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   ,1
Approved, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   ,1
Denied, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, South Korea, and Mexico.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3, queried 02/2023, TRK 11214",,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for the Philippines",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1),,,,,,,,,,,,
, Fiscal Year Received ,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023, TOTAL 
TOTAL,"3,039","3,097","4,346","4,708","5,248","5,416","7,910","7,124","6,147","10,332","2,628","59,995"
Approved,"2,614","2,684","3,687","3,736","3,818","3,991","6,400","6,814","5,911","9,941","2,433","52,029"
Denied,368,365,601,886,"1,364","1,373","1,456",290,165,253,35,"7,156"
"Pending, Other1",57,48,58,86,66,52,54,20,71,138,160,810
First Preference (EB1),,,,,,,,,,,,
Total Petitions,106,128,101,116,146,160,107,92,91,100,26,"1,173"
Approved,88,99,81,93,114,138,92,79,77,68,12,941
Denied,18,29,20,23,32,22,15,12,8,3, -   ,182
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   ,1,6,29,14,50
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),11,23,11,12,21,16,13,8,16,10,3,144
Outstanding Professors or Researchers (E12),5,3,5,4,7, -   ,6,5,2,4,1,42
Multinational Executives or Managers (E13),72,73,65,77,86,122,73,66,59,54,8,755
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"1,563","1,377","1,097","1,335","1,019",771,586,407,373,380,65,"8,973"
Approved,"1,357","1,177",943,"1,110",824,631,451,376,356,348,41,"7,614"
