"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1-Q2),,,,,,,,,,,,
, Fiscal Year Received ,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023, TOTAL 
TOTAL,"71,575","87,021","102,926","147,622","139,402","137,525","148,437","129,546","178,810","165,309","85,658","1,393,831"
Approved,"64,531","79,383","94,114","134,299","125,087","124,269","135,495","120,232","168,974","152,444","66,670","1,265,498"
Denied,"6,485","6,915","8,058","11,074","12,206","12,386","12,394","8,781","8,244","7,896","1,803","96,242"
"Pending, Other1",559,723,754,"2,249","2,109",870,548,533,"1,592","4,969","17,185","32,091"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"20,023","22,591","24,493","28,417","31,783","28,309","24,046","21,328","21,988","25,933","16,849","265,760"
Approved,"17,602","19,832","21,805","25,073","27,137","23,160","19,390","17,459","18,354","21,014","10,364","221,190"
Denied,"2,402","2,694","2,650","3,278","4,594","5,105","4,598","3,772","3,112","3,078","1,055","36,338"
"Pending, Other1",19,65,38,66,52,44,58,97,522,"1,841","5,430","8,232"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),"4,219","4,964","5,922","7,204","8,453","7,191","4,684","4,207","5,300","6,650","3,324","62,118"
Outstanding Professors or Researchers (E12),"3,239","3,372","3,610","3,540","3,816","3,652","3,003","2,600","3,394","3,888","2,289","36,403"
Multinational Executives or Managers (E13),"10,144","11,496","12,273","14,329","14,868","12,317","11,703","10,652","9,660","10,476","4,752","122,670"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"40,759","48,642","58,204","81,825","69,859","69,689","78,024","67,483","70,507","84,382","41,308","710,682"
Approved,"38,297","45,938","55,002","77,716","66,113","66,208","73,986","64,076","66,868","78,389","31,693","664,286"
Denied,"2,455","2,688","3,191","4,091","3,719","3,458","4,001","3,257","3,061","3,364",418,"33,703"
"Pending, Other1",7,16,11,18,27,23,37,150,578,"2,629","9,197","12,693"
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"34,063","41,216","49,511","71,768","59,142","59,109","63,683","51,936","54,845","61,569","22,794","569,636"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,"9,558","14,624","18,734","34,178","35,144","38,437","45,726","40,403","86,036","54,700","25,446","402,986"
Approved,"8,634","13,634","17,311","31,513","31,841","34,892","42,120","38,697","83,754","53,044","22,946","378,386"
Denied,920,976,"1,409","2,583","3,119","3,387","3,522","1,662","1,987","1,382",285,"21,232"
"Pending, Other1",4,14,14,82,184,158,84,44,295,274,"2,215","3,368"
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),"3,631","3,763","7,801","11,242","11,996","11,952","15,910","14,826","15,867","19,213","9,838","126,039"
Professionals with Baccalaureate Degrees (E32),"4,601","9,532","8,461","16,898","16,367","18,840","20,648","17,654","60,774","24,606","9,072","207,453"
Needed Unskilled Workers (EW3),402,339,"1,049","3,373","3,478","4,100","5,562","6,217","7,113","9,225","4,037","44,895"
Other and Unknown3, -   , -   ,1,4,2,7, -   , -   , -   , -   ,"1,966","1,980"
Approved, -   , -   ,1,1,1,6, -   , -   , -   , -   ,"1,734","1,743"
Denied, -   , -   , -   ,3,1,1, -   , -   , -   , -   ,30,35
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,202,202
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, Brazil, and South Korea.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) Since petitioners are able to files more than one application, this report includes all filed petition; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3, queried 05/2023, TRK 11862",,,,,,,,,,,,
