,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2017 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 2,116,432 "," 1,711,800 "," 135,071 "," 4,670,030 "," 2,226,020 "," 1,789,167 "," 147,825 "," 4,975,863 "," 2,261,923 "," 1,619,363 "," 153,393 "," 5,481,899 "," 1,926,347 "," 1,615,515 "," 163,638 "," 5,606,618 "," 8,530,722 "," 6,735,845 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions," 12,836 "," 10,179 "," 2,044 "," 15,847 "," 13,200 "," 6,864 "," 2,604 "," 20,276 "," 12,315 "," 9,903 "," 2,437 "," 21,021 "," 11,480 "," 6,052 "," 2,135 "," 24,764 "," 49,831 "," 32,998 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-130,Immediate and Preference Relatives," 259,622 "," 134,711 "," 13,268 "," 1,060,991 "," 234,142 "," 133,974 "," 13,439 "," 1,158,517 "," 216,778 "," 134,380 "," 13,829 "," 1,235,491 "," 203,942 "," 137,745 "," 17,026 "," 1,289,088 "," 914,484 "," 540,810 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 94,564 "," 67,416 "," 8,499 "," 271,152 "," 89,238 "," 65,970 "," 8,979 "," 291,769 "," 94,171 "," 71,401 "," 9,861 "," 305,848 "," 87,743 "," 71,144 "," 9,708 "," 314,939 "," 365,716 "," 275,931 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-600/600A,Orphan Petitions, 729 , 619 , 89 , 441 , 847 , 655 , 94 , 505 , 739 , 640 , 84 , 472 , 607 , 516 , 73 , 515 ," 2,922 "," 2,430 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-601A,Provisional Waivers," 18,127 "," 15,440 ", 944 ," 29,757 "," 17,729 "," 20,669 ", 829 ," 26,373 "," 15,283 "," 17,480 ", 857 ," 23,776 "," 14,590 "," 15,047 ", 701 ," 22,711 "," 65,729 "," 68,636 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
