Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2019 To-Date,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3
,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,,"1,644,628","1,379,485","190,342","5,600,285",,,,,,,,,,,,,"1,644,628","1,379,485"
,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions,"10,334","13,230","2,464","25,249",,,,,,,,,,,,,"10,334","13,230"
,I-130,Immediate and Preference Relatives,"182,559","145,526","13,655","1,544,105",,,,,,,,,,,,,"182,559","145,526"
,I-485,Family-Based Adjustments,"82,888","69,513","11,841","376,371",,,,,,,,,,,,,"82,888","69,513"
,I-600/600A,Orphan Petitions,508,352,44,434,,,,,,,,,,,,,508,352
,I-601A,Provisional Waivers,"12,742","11,657",759,"39,439",,,,,,,,,,,,,"12,742","11,657"
,I-751,Remove Conditions on Residence,"43,994","42,301","1,287","252,804",,,,,,,,,,,,,"43,994","42,301"
,I-800/800A,Convention Country Adoptions,"1,330","1,124",15,549,,,,,,,,,,,,,"1,330","1,124"
Employment Based,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions,"87,971","103,440","40,189","130,382",,,,,,,,,,,,,"87,971","103,440"
,I-140,Immigrant Petition for Alien Workers,"38,693","39,999","3,118","47,821",,,,,,,,,,,,,"38,693","39,999"
,I-485,Employment-Based Adjustments,"27,893","33,181","1,543","154,616",,,,,,,,,,,,,"27,893","33,181"
,I-526,Petitions by Entrepreneurs,"1,808","2,175",398,"13,508",,,,,,,,,,,,,"1,808","2,175"
,I-765,Employment Authorization Documents,"388,338","317,259","37,374","592,420",,,,,,,,,,,,,"388,338","317,259"
,I-829,Remove Conditions on Entrepreneur,797,443,31,"8,119",,,,,,,,,,,,,797,443
,I-924,Regional Center Applications,19,25,44,148,,,,,,,,,,,,,19,25
,I-924A,Annual Certification of Regional Center ,322, -   , -   ,"1,155",,,,,,,,,,,,,322, -   
Humanitarian,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments,"8,575","8,196",464,"24,483",,,,,,,,,,,,,"8,575","8,196"
,I-485,Refugee Adjustments,"8,523","13,281",498,"36,648",,,,,,,,,,,,,"8,523","13,281"
