Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"October 1, 2021 - December 31, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,1st Quarter,,,,,                Fiscal Year - To Date,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending
,,,,,,,,,,,,
TOTAL,,"2,067,422","1,438,543","240,671","1,695,034","8,407,773", N/A ,"2,067,422","1,438,543","240,671","1,695,034","8,407,773"
,,,,,,,,,,,,
Family Based,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e),"11,287","3,167","1,839","5,006","36,842",9.3,"11,287","3,167","1,839","5,006","36,842"
I-130,Petition for Alien Relative,"206,247","135,300","22,473","157,773","1,585,539",10.4,"206,247","135,300","22,473","157,773","1,585,539"
I-600 7,Petition to Classify Orphan as an Immediate Relative,292,225,31,256,588, N/A ,292,225,31,256,588
I-601A,Application for Provisional Unlawful Presence Waiver,"8,366","1,601",146,"1,747","97,956",24.2,"8,366","1,601",146,"1,747","97,956"
I-751,Petition to Remove Conditions on Residence ,"46,928","24,331","1,347","25,678","252,775",16.8,"46,928","24,331","1,347","25,678","252,775"
I-800 8,Petition to Classify Convention Adoptee as an Immediate Relative,788,692,19,711,535, N/A ,788,692,19,711,535
Employment Based,,,,,,,,,,,,
I-129,Petition for a Nonimmigrant Worker,"122,330","122,916","16,863","139,779","89,068",2.6,"122,330","122,916","16,863","139,779","89,068"
I-140,Immigrant Petition for Alien Workers,"42,728","37,304","1,729","39,033","93,837",11.2,"42,728","37,304","1,729","39,033","93,837"
I-526 ,Immigrant Petition by Alien Investor ,189,16,45,61,"13,132",40.8,189,16,45,61,"13,132"
I-765,Application for Employment Authorization (Asylum),"134,087","66,662","7,724","74,386","395,120",6.9,"134,087","66,662","7,724","74,386","395,120"
I-765,Application for Employment Authorization (Adjustment Of Status),"163,117","115,377","53,492","168,869","481,822",7.2,"163,117","115,377","53,492","168,869","481,822"
I-765,Application for Employment Authorization (DACA),"67,752","78,696",634,"79,330","121,592",0.9,"67,752","78,696",634,"79,330","121,592"
