,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2nd Quarter,,,,,                Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,," 2,132,619 "," 1,737,651 "," 307,782 "," 2,064,926 "," 8,565,559 ", N/A ," 4,231,636 "," 3,175,360 "," 548,117 "," 3,758,687 "," 8,565,559 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e)," 12,021 "," 3,487 "," 2,937 "," 6,424 "," 42,907 ", 10.8 ," 23,308 "," 6,654 "," 4,776 "," 11,430 "," 42,907 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-130,Petition for Alien Relative," 207,227 "," 167,962 "," 60,700 "," 228,662 "," 1,622,266 ", 10.7 ," 413,474 "," 303,262 "," 83,173 "," 386,435 "," 1,622,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-600 7,Petition to Classify Orphan as an Immediate Relative, 309 , 276 , 96 , 372 , 548 , N/A , 601 , 501 , 127 , 628 , 548 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-601A,Application for Provisional Unlawful Presence Waiver," 9,552 "," 1,548 ", 248 ," 1,796 "," 106,109 ", 27.8 ," 17,918 "," 3,149 ", 394 ," 3,543 "," 106,109 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
