Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,3rd Quarter,,,,,                Fiscal Year - To Date,,,
,, ,,Completed,,,,,,Completed,,
Category and Form Number,Description,Forms Received 1,Approved 2,Denied 3,Total 4,Pending 5,Processing Time 6,Forms Received,Approved,Denied,Total,Pending
,,,,,,,,,,,,
TOTAL,,"2,157,941","1,767,705","283,832","2,074,419","8,753,371", N/A ,"6,395,638","4,940,723","833,965","5,832,580","8,753,371"
,,,,,,,,,,,,
Family Based,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e),"12,686","4,486","2,744","7,230","50,103",12.9,"35,994","11,140","7,520","18,660","50,103"
I-130,Petition for Alien Relative,"228,500","153,227","21,250","174,477","1,699,329",11,"641,974","456,489","104,423","560,912","1,699,329"
I-600 7,Petition to Classify Orphan as an Immediate Relative,291,279,65,344,512, N/A ,892,780,192,972,512
I-601A,Application for Provisional Unlawful Presence Waiver,"9,042",892,339,"1,231","113,692",35.4,"26,960","4,041",733,"4,774","113,692"
I-751,Petition to Remove Conditions on Residence ,"11,639","27,045","1,426","28,471","230,538",16.6,"82,722","81,361","4,553","85,914","230,538"
I-800 8,Petition to Classify Convention Adoptee as an Immediate Relative,678,718,11,729,431, N/A ,"2,135","2,159",53,"2,212",431
Employment Based,,,,,,,,,,,,
I-129,Petition for a Nonimmigrant Worker,"206,334","160,111","29,218","189,329","100,571",2.2,"465,781","431,540","78,751","510,291","100,571"
I-140,Immigrant Petition for Alien Workers,"42,839","57,438","3,277","60,715","73,761",10.4,"127,334","138,524","8,636","147,160","73,761"
I-526 ,Immigrant Petition by Alien Investor ,32,264,191,455,"12,988",43.8,641,330,338,668,"12,988"
I-765,Application for Employment Authorization (Asylum),"153,286","128,954","18,616","147,570","450,580",11.4,"443,073","293,255","36,862","330,117","450,580"
I-765,Application for Employment Authorization (Adjustment Of Status),"155,107","128,331","32,654","160,985","379,034",6.2,"473,351","414,045","123,792","537,837","379,034"
I-765,Application for Employment Authorization (DACA),"58,272","61,625",666,"62,291","108,215",0.5,"217,295","240,164","2,027","242,191","108,215"
I-765,Application for Employment Authorization (All Other),"219,734","213,929","13,896","227,825","574,429",5.1,"632,938","535,181","32,613","567,794","574,429"
I-829,Petition by Investor to Remove Conditions on Permanent Resident Status ,200,340,49,389,"11,523",48.1,"1,201","1,035",127,"1,162","11,523"
I-924 9,Application For Regional Center Designation Under the Immigrant Investor Program , -   , -   , -   , -   ,139, N/A , D , -   , -   , -   ,139
I-924A,Annual Certification of Regional Center, D , -   , -   , -   ,"1,813", N/A ,529, -   , -   , -   ,"1,813"
Humanitarian,,,,,,,,,,,,
I-589 10,Application for Asylum and for Withholding of Removal ,"42,492","2,971","4,627","10,771","505,093", N/A ,"118,714","7,304","14,080","30,796","505,093"
Legalization 11,Legalization/SAW,11,1,18,19,399,2,40, -   ,43,43,399
