,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4th Quarter,,,,,                Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,," 2,200,024 "," 1,939,071 "," 345,272 "," 2,311,183 "," 8,686,971 ", N/A ," 8,629,636 "," 6,883,950 "," 1,174,863 "," 8,143,283 "," 8,686,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e)," 12,124 "," 5,061 "," 1,972 "," 7,033 "," 55,425 ", 14.0 ," 48,118 "," 16,201 "," 9,492 "," 25,693 "," 55,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-130,Petition for Alien Relative," 231,099 "," 110,459 "," 28,828 "," 139,287 "," 1,808,240 ", 14.0 ," 873,073 "," 566,948 "," 133,251 "," 700,199 "," 1,808,240 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-600 7,Petition to Classify Orphan as an Immediate Relative, 194 , 176 , 86 , 262 , 469 , N/A ," 1,086 ", 956 , 278 ," 1,234 ", 469 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-601A,Application for Provisional Unlawful Presence Waiver," 9,349 "," 1,011 ", 279 ," 1,290 "," 121,793 ", 37.9 ," 36,309 "," 5,052 "," 1,012 "," 6,064 "," 121,793 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
