Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"October 1, 2022 - December 31, 2022",,,,,,,,,,,,
,,,,1st Quarter,,,,,                Fiscal Year - To Date,,,
,,Forms ,,Completed,,,Processing ,Forms ,,Completed,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,Received,Approved,Denied,Total,Pending
TOTAL,,"2,247,341","2,013,904","326,139","2,365,447","8,839,226", N/A ,"2,247,341","2,013,904","326,139","2,365,447","8,839,226"
Family Based,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e),"11,423","6,214","2,295","8,509","58,479",14.5,"11,423","6,214","2,295","8,509","58,479"
I-130,Petition for Alien Relative,"222,588","138,041","12,274","150,315","1,899,166",13.6,"222,588","138,041","12,274","150,315","1,899,166"
I-600 7,Petition to Classify Orphan as an Immediate Relative,135,71,10,81,585,4.2,135,71,10,81,585
I-601A,Application for Provisional Unlawful Presence Waiver,"7,604","1,304",268,"1,572","127,694",34.3,"7,604","1,304",268,"1,572","127,694"
I-751,Petition to Remove Conditions on Residence ,"50,443","25,303","1,205","26,508","264,901",19.5,"50,443","25,303","1,205","26,508","264,901"
I-800 8,Petition to Classify Convention Adoptee as an Immediate Relative,489,202,11,213,535,1.8,489,202,11,213,535
Employment Based,,,,,,,,,,,,
I-129,Petition for a Nonimmigrant Worker,"105,573","133,124","28,551","161,675","64,605",3.9,"105,573","133,124","28,551","161,675","64,605"
I-140,Immigrant Petition for Alien Workers,"57,506","61,990","5,650","67,640","48,022",4.3,"57,506","61,990","5,650","67,640","48,022"
I-526 9,Immigrant Petition by Alien Investor ,556,273,207,480,"13,232",47.5,556,273,207,480,"13,232"
I-765,Application for Employment Authorization (Asylum),"188,084","212,799","23,446","236,245","387,871",2.8,"188,084","212,799","23,446","236,245","387,871"
I-765,Application for Employment Authorization (Adjustment Of Status),"144,576","106,474","84,357","190,831","322,455",4.6,"144,576","106,474","84,357","190,831","322,455"
I-765,Application for Employment Authorization (DACA),"66,167","61,765",594,"62,359","122,686",1.1,"66,167","61,765",594,"62,359","122,686"
I-765,Application for Employment Authorization (All Other),"264,076","199,604","18,373","217,977","558,497",3.3,"264,076","199,604","18,373","217,977","558,497"
I-829,Petition by Investor to Remove Conditions on Permanent Resident Status ,81,307,29,336,"10,906",46.5,81,307,29,336,"10,906"
I-924 10,Application For Regional Center Designation Under the Immigrant Investor Program , -   , -   , -   , -   ,139, N/A , -   , -   , -   , -   ,139
I-924A,Annual Certification of Regional Center, -   , -   , -   , -   ,"1,813", N/A , -   , -   , -   , -   ,"1,813"
Humanitarian,,,,,,,,,,,,
I-589 11,Application for Asylum and for Withholding of Removal ,"100,139","4,680","1,207","7,918","708,099", N/A ,"100,139","4,680","1,207","7,918","708,099"
Legalization 12,Legalization/SAW,12,1,22,23,395, N/A ,12,1,22,23,395
I-730,Refugee/Asylee Relative Petition,"3,652","3,907",408,"4,315","20,487",13.8,"3,652","3,907",408,"4,315","20,487"
I-817,Application for Family Unity Benefits,90,31,13,44,388,9,90,31,13,44,388
