Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
Total,"2,586","1,182","3,898","12,459","7,411","6,457","5,107","2,205","41,305"
INDIA,542,375,"1,796","8,390",496,634,"2,319",7,"14,559"
CHINA,975,519,200,"2,212","1,139",228,597,42,"5,912"
PHILIPPINES,4,-,29,39,21,"2,993",280,184,"3,550"
BRAZIL,89,16,217,91,927,125,123,253,"1,841"
"KOREA, SOUTH",38,22,79,147,381,214,179,120,"1,180"
IRAN,40,7,8,52,856,78,26,19,"1,086"
MEXICO,35,6,149,116,84,55,182,283,910
NIGERIA,34,2,16,40,461,221,35,13,822
NEPAL,16,1,3,51,98,229,97,170,665
BANGLADESH,8,4,6,41,398,17,21,149,644
COLOMBIA,34,5,51,20,306,20,46,77,559
CANADA,43,10,130,110,77,81,100,2,553
PAKISTAN,10,8,25,90,222,71,59,58,543
VIETNAM,3,1,12,35,60,30,45,283,469
UNITED KINGDOM,50,15,196,59,69,30,45,3,467
TAIWAN,12,10,26,125,119,51,94,11,448
VENEZUELA,59,2,41,21,183,25,47,54,432
KENYA,2,-,4,13,18,306,8,7,358
FRANCE,34,9,93,68,61,23,34,1,323
RUSSIA,94,7,35,35,84,16,33,5,309
GHANA,2,1,3,8,76,196,8,2,296
TURKEY,17,14,33,34,95,32,44,13,282
ARGENTINA,42,2,53,21,59,16,24,9,226
GERMANY,24,19,51,27,36,22,18,-,197
ITALY,21,10,30,30,54,24,19,1,189
JAMAICA,2,1,2,7,6,109,49,1,177
EGYPT,7,8,12,20,77,18,19,1,162
SPAIN,18,7,46,17,32,10,31,1,162
SOUTH AFRICA,13,1,58,14,15,28,11,19,159
JAPAN,12,8,30,23,29,18,29,4,153
THAILAND,4,-,3,13,20,40,9,52,141
UKRAINE,26,3,21,26,23,20,12,10,141
ISRAEL,14,4,34,22,20,9,11,1,115
AUSTRALIA,19,4,30,17,5,26,13,1,115
POLAND,13,8,14,12,17,13,12,22,111
PERU,10,2,14,15,45,5,8,10,109
LEBANON,7,2,11,15,30,30,7,5,107
SRI LANKA,2,1,6,20,44,3,13,9,98
IRELAND,6,3,34,8,6,7,26,-,90
JORDAN,1,2,3,15,19,31,7,3,81
ZIMBABWE,-,2,5,5,5,44,7,12,80
ETHIOPIA,2,2,1,8,27,4,7,28,79
SAUDI ARABIA,2,-,6,12,27,16,15,1,79
CHILE,11,1,6,13,28,7,11,-,77
ECUADOR,3,1,7,8,40,2,6,5,72
HONG KONG,2,5,6,15,8,12,18,5,71
KAZAKHSTAN,11,-,5,6,32,5,8,1,68
ROMANIA,4,4,10,16,8,8,12,6,68
MALAYSIA,2,-,11,9,9,9,26,1,67
NETHERLANDS,4,5,27,8,10,3,4,-,61
GREECE,5,6,4,12,23,1,9,-,60
INDONESIA,-,2,4,15,8,5,16,1,51
CAMBODIA,-,-,-,-,-,1,2,46,49
UZBEKISTAN,10,-,2,5,18,2,4,8,49
SOVIET UNION,26,-,-,3,14,3,2,-,48
MONGOLIA,2,-,-,4,9,3,6,24,48
EL SALVADOR,2,-,2,2,9,8,4,20,47
COSTA RICA,-,-,14,5,7,3,11,5,45
DOMINICAN REPUBLIC,2,-,6,5,11,5,8,8,45
TRINIDAD AND TOBAGO,2,2,2,3,12,20,4,-,45
UNITED ARAB EMIRATES,2,1,2,12,4,7,12,2,42
BURMA,-,-,1,5,-,2,4,30,42
NIGER,1,-,1,6,9,18,6,-,41
SWEDEN,6,-,11,2,12,6,1,-,38
BELARUS,6,-,10,5,9,2,4,2,38
SINGAPORE,2,-,2,9,8,2,9,1,33
ARMENIA,7,1,3,3,5,3,9,2,33
HUNGARY,2,1,6,4,8,1,5,6,33
HONDURAS,2,1,3,1,13,3,8,2,33
MOROCCO,4,-,4,10,4,2,6,2,32
SWITZERLAND,3,4,7,7,2,2,3,-,28
AUSTRIA,-,3,7,7,5,3,2,1,28
BULGARIA,1,2,7,4,2,2,7,2,27
ALBANIA,-,-,2,3,1,1,3,16,26
BELGIUM,4,1,7,5,8,-,1,-,26
IRAQ,1,-,1,2,15,5,-,1,25
UGANDA,1,2,1,3,7,9,2,-,25
CAMEROON,-,-,-,2,15,4,3,-,24
NEW ZEALAND,3,2,9,3,3,2,2,-,24
PORTUGAL,3,1,4,2,6,3,4,1,24
SYRIA,3,1,-,4,8,1,5,2,24
GEORGIA,7,1,-,-,8,1,6,-,23
UNKNOWN,1,-,5,3,6,1,3,3,22
TUNISIA,-,1,3,5,8,-,4,1,22
GUATEMALA,2,-,5,1,3,3,3,4,21
SERBIA,2,1,2,3,5,2,2,4,21
HAITI,1,-,-,1,5,10,2,1,20
KUWAIT,2,-,3,2,3,4,5,-,19
LIBYA,-,-,2,1,10,1,4,1,19
ALGERIA,1,2,4,1,5,1,1,4,19
BOLIVIA,2,-,2,1,10,1,-,2,18
DENMARK,2,2,9,-,2,2,-,-,17
SLOVAKIA,1,2,3,2,1,3,5,-,17
"BAHAMAS, THE",1,-,-,3,1,8,3,1,17
ZAMBIA,1,-,-,-,3,7,2,3,16
CZECHIA,2,1,3,-,7,-,3,-,16
AZERBAIJAN,2,-,-,1,7,1,4,-,15
MOLDOVA,3,-,3,4,1,1,1,1,14
URUGUAY,2,-,1,1,3,4,-,2,13
KYRGYZSTAN,1,-,-,1,6,1,4,-,13
NORWAY,3,-,2,-,5,2,1,-,13
NORTH MACEDONIA,-,-,1,1,3,1,2,4,12
FINLAND,1,-,6,3,1,-,1,-,12
YEMEN,1,-,-,1,8,-,-,1,11
TAJIKISTAN,2,-,-,2,4,-,1,2,11
OMAN,-,-,-,3,4,2,2,-,11
NICARAGUA,-,-,5,-,-,3,1,2,11
AFGHANISTAN,3,-,-,1,3,2,1,1,11
CROATIA,3,1,-,2,2,1,1,-,10
BOSNIA AND HERZEGOVINA,-,1,-,4,1,-,4,-,10
LATVIA,3,-,3,1,1,1,-,1,10
SUDAN,-,-,-,2,6,-,1,-,9
PANAMA,-,-,1,-,2,1,1,4,9
RWANDA,-,-,-,3,4,1,1,-,9
CONGO (KINSHASA),-,-,-,1,6,1,1,-,9
TANZANIA,1,-,1,2,1,1,1,1,8
PARAGUAY,1,-,-,1,3,1,1,1,8
SAINT LUCIA,-,-,-,-,-,7,1,-,8
GUYANA,-,-,-,3,-,5,-,-,8
FRENCH POLYNESIA,1,-,2,3,-,2,-,-,8
LITHUANIA,1,-,4,-,-,-,1,1,7
CÔTE D'IVOIRE,-,-,-,2,-,1,4,-,7
TURKMENISTAN,1,-,-,1,1,-,-,3,6
SERBIA AND MONTENEGRO,-,-,-,3,-,1,2,-,6
BAHRAIN,-,-,1,2,1,2,-,-,6
MALAWI,1,-,-,-,3,2,-,-,6
KOSOVO,-,-,1,-,2,1,-,2,6
CUBA,1,-,1,-,3,-,-,1,6
"PALESTINE, STATE OF",-,-,-,2,-,2,1,1,6
SLOVENIA,1,-,2,1,-,-,1,-,5
ESTONIA,1,-,1,-,1,2,-,-,5
BARBADOS,1,-,-,-,1,2,-,-,4
DOMINICA,-,-,-,1,1,2,-,-,4
BENIN,-,-,-,1,2,1,-,-,4
TOGO,-,-,-,2,1,-,1,-,4
BURUNDI,-,-,-,1,1,-,2,-,4
GRENADA,-,-,-,-,1,3,-,-,4
QATAR,-,-,-,-,1,2,-,-,3
BELIZE,-,-,-,-,-,3,-,-,3
CONGO (BRAZZAVILLE),-,-,1,-,-,1,-,1,3
"GAMBIA, THE",-,-,-,-,-,1,-,2,3
SENEGAL,-,-,1,-,1,-,1,-,3
MONTENEGRO,-,-,-,1,1,-,1,-,3
ERITREA,-,-,-,2,1,-,-,-,3
CABO VERDE,-,-,-,-,3,-,-,-,3
SIERRA LEONE,-,-,-,1,1,1,-,-,3
ANTIGUA AND BARBUDA,-,-,-,-,1,2,-,-,3
MACAU,-,-,-,-,2,-,-,-,2
ANGOLA,-,-,-,-,1,1,-,-,2
CZECHOSLOVAKIA,-,-,-,1,-,-,1,-,2
MALTA,-,-,-,2,-,-,-,-,2
MAURITIUS,-,-,1,-,-,-,1,-,2
BOTSWANA,1,-,-,-,1,-,-,-,2
YUGOSLAVIA,-,-,-,-,2,-,-,-,2
GABON,-,-,-,-,2,-,-,-,2
BHUTAN,-,-,-,-,-,1,-,1,2
LUXEMBOURG,-,-,2,-,-,-,-,-,2
ICELAND,1,-,1,-,-,-,-,-,2
GUINEA,-,-,1,-,-,-,1,-,2
BURKINA FASO,-,-,-,1,1,-,-,-,2
SURINAME,1,-,-,-,1,-,-,-,2
BERMUDA,-,-,-,-,2,-,-,-,2
GERMAN DEMOCRATIC REPUBLIC,-,1,-,-,1,-,-,-,2
CYPRUS,-,-,-,-,1,-,-,-,1
MADAGASCAR,-,-,-,-,1,-,-,-,1
FIJI,-,-,-,-,-,-,-,1,1
ESWATINI,-,-,-,-,1,-,-,-,1
LESOTHO,-,-,-,-,-,1,-,-,1
LIBERIA,-,-,-,-,1,-,-,-,1
LAOS,-,-,-,-,1,-,-,-,1
NAMIBIA,-,-,-,-,-,-,-,1,1
MONACO,-,-,-,-,-,-,-,1,1
CAYMAN ISLANDS,-,-,1,-,-,-,-,-,1
ARUBA,-,-,-,-,-,-,1,-,1
CURAÇAO,-,-,1,-,-,-,-,-,1
MARTINIQUE,-,-,1,-,-,-,-,-,1
NEW CALEDONIA,-,-,1,-,-,-,-,-,1
DJIBOUTI,-,-,-,-,1,-,-,-,1
GUADELOUPE,1,-,-,-,-,-,-,-,1
SAINT KITTS AND NEVIS,-,-,1,-,-,-,-,-,1
Notes:,,,,,,,,,
1) Some petitions approved may have been received in previous reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
4) The counts of approved petitions represent only primary beneficiaries.  Dependents are not included.,,,,,,,,,
"5) This report is based on the fiscal year in which the petition was approved, not the fiscal year in which the petition was submitted to USCIS. ",,,,,,,,,
"   A petition approved in a fiscal year may have been filed in an earlier year. Therefore, this report is different from other reports that are based ",,,,,,,,,
   on the fiscal year in which the petition was filed.,,,,,,,,,
"6) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3 and ELIS, queried 09/2023, TRK 12284",,,,,,,,,
