Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary State and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary State,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),"Mem of Profession w/Adv Deg, or of Exceptional Ability (E21)",Indiv w/Adv Deg or Exceptional Ability in the National Interest (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
Total,"2,586","1,182","3,898","12,459","7,411","6,457","5,107","2,205","41,305"
Texas,223,163,657,"3,051",635,701,752,153,"6,335"
California,552,325,644,"2,518",820,273,886,141,"6,159"
Unknown,436,5,52,207,"1,150","1,501",121,645,"4,117"
Florida,218,25,247,235,998,837,264,104,"2,928"
New York,207,55,362,647,353,293,319,71,"2,307"
New Jersey,90,46,367,861,177,206,268,34,"2,049"
Washington,94,94,204,742,157,49,473,45,"1,858"
Virginia,62,31,130,635,187,238,361,28,"1,672"
Massachusetts,150,95,143,334,443,76,150,50,"1,441"
Illinois,35,26,160,478,163,109,174,142,"1,287"
Georgia,49,13,108,250,168,352,146,131,"1,217"
Pennsylvania,78,37,75,210,210,305,137,83,"1,135"
Michigan,11,24,91,321,324,53,133,44,"1,001"
North Carolina,36,17,103,222,143,261,75,51,908
Maryland,59,8,34,109,197,309,45,25,786
Ohio,16,21,59,162,114,71,57,30,530
Arizona,43,27,45,172,61,11,71,57,487
Tennessee,10,12,29,99,80,138,41,14,423
Oregon,16,22,28,177,39,6,126,3,417
Colorado,9,5,44,73,45,60,45,67,348
Minnesota,11,10,32,124,69,38,33,13,330
Connecticut,33,14,55,81,69,8,32,1,293
Missouri,5,4,34,75,51,31,33,45,278
Indiana,7,12,17,47,79,57,27,15,261
Arkansas,12,4,11,63,21,65,43,1,220
Wisconsin,8,5,29,72,36,6,30,8,194
Kentucky,10,10,8,32,48,56,12,3,179
Iowa,6,6,8,53,32,17,20,33,175
Alabama,6,10,15,16,53,36,22,17,175
Utah,8,5,8,29,53,23,30,16,172
Louisiana,10,4,4,32,63,36,11,7,167
South Carolina,11,6,17,23,52,10,16,26,161
Oklahoma,5,4,4,8,34,20,17,35,127
Nevada,14,1,12,19,37,20,9,4,116
Kansas,4,3,9,42,20,6,20,6,110
District of Columbia,14,1,9,22,22,22,7,1,98
Rhode Island,5,3,5,54,9,7,8,1,92
Delaware, - ,8,5,30,27,2,3,3,78
Guam, - , - ,3,4,2,65,4, - ,78
New Mexico,3,4,1,10,38,13,5,3,77
Nebraska,2,4,3,24,18,5,12,1,69
New Hampshire,1,2,8,20,17,7,9,3,67
Mississippi,4,2,2,10,19,4,7,18,66
South Dakota,1,2,5,29,7,5,12,1,62
North Dakota,1,1, - ,9,13,23,2,5,54
West Virginia,2,2, - ,10,15,2,2,4,37
Maine,4,1,1,6,10,6, - ,8,36
Idaho,2,1,3,3,15,2,1,7,34
Northern Mariana Islands, - , - , - , - , - ,9,24, - ,33
Hawaii,2,1,1,3,2,3,7, - ,19
Vermont, - , - , - ,2,5,1,2,1,11
Puerto Rico, - , - ,6, - ,2,2, - , - ,10
Wyoming,1, - , - ,1,4,1,1, - ,8
Alaska, - ,1,1,1,1, - ,2, - ,6
Montana, - , - , - ,1,4, - , - ,1,6
Virgin Islands, - , - , - ,1, - , - , - , - ,1
Notes:,,,,,,,,,
1) Some petitions approved may have been received in previous reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
4) The counts of approved petitions represent only primary beneficiaries.  Dependents are not included.,,,,,,,,,
"5) This report is based on the fiscal year in which the petition was approved, not the fiscal year in which the petition was submitted to USCIS. ",,,,,,,,,
"   A petition approved in a fiscal year may have been filed in an earlier year. Therefore, this report is different from other reports that are based ",,,,,,,,,
   on the fiscal year in which the petition was filed.,,,,,,,,,
"6) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3 and ELIS, queried 09/2023, TRK 12284",,,,,,,,,
