Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status",,,,,,,,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,,,,,,,,
,1st Quarter,,,,2nd Quarter,,,,3rd Quarter,,,,Fiscal Year Total,,,
,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4,Received1,Approved2,Denied3,Pending4
TOTAL,"40,162","42,844","4,099","46,455","45,502","44,800","4,595","44,352","52,067","41,305","4,751","47,435","137,731","128,949","13,445","47,435"
First Preference (EB1),"9,092","7,857","1,238","12,037","8,278","8,023","1,469","12,277","9,693","7,666","1,403","12,700","27,063","23,546","4,110","12,700"
Alien of Extraordinary Ability (E11),"3,465","2,372",825,"6,235","3,575","2,404","1,052","6,291","4,279","2,586","1,101","6,794","11,319","7,362","2,978","6,794"
Outstanding Professor or Researcher (E12),"1,310","1,405",120,519,"1,327","1,276",98,454,"1,404","1,182",81,574,"4,041","3,863",299,574
Multi-national Executive or Manager (E13),"4,317","4,080",293,"5,283","3,376","4,343",319,"5,532","4,010","3,898",221,"5,332","11,703","12,321",833,"5,332"
Second Preference (EB2),"19,768","20,628","1,895","21,950","22,232","22,499","2,394","20,833","24,771","19,870","2,819","21,630","66,771","62,997","7,108","21,630"
Professionals with Advanced Degrees (E21),"10,962","13,017",543,"3,891","14,118","13,293",708,"4,491","14,246","12,459",610,"6,039","39,326","38,769","1,861","6,039"
National Interest Waiver (NIW),"8,806","7,611","1,352","18,059","8,114","9,206","1,686","16,342","10,525","7,411","2,209","15,591","27,445","24,228","5,247","15,591"
Third Preference (EB3),"11,302","14,359",966,"12,468","14,992","14,278",732,"11,242","17,603","13,769",529,"13,105","43,897","42,406","2,227","13,105"
Skilled Worker (E31),"4,583","5,427",345,"3,792","6,642","6,115",230,"3,189","8,686","6,457",215,"4,229","19,911","17,999",790,"4,229"
Professionals with Baccalaureate Degrees (E32),"4,304","5,811",283,"2,680","5,633","5,542",275,"2,212","5,947","5,107",170,"2,546","15,884","16,460",728,"2,546"
Needed Unskilled Workers (EW3),"2,415","3,121",338,"5,996","2,717","2,621",227,"5,841","2,970","2,205",144,"6,330","8,102","7,947",709,"6,330"
Table Key:,,,,,,,,,,,,,,,,
N/A Not available,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,
3  The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,
4  The number of applications awaiting a decision as of the end of the reporting period.  Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; ,,,,,,,,,,,,,,,,
thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post adjudicative outcomes.,,,,,,,,,,,,,,,,
"4) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,
"CLAIMS3, ELIS and NPD, queried 09/2023, TRK 12284",,,,,,,,,,,,,,,,
