Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
Total,"4,279","1,404","4,010","14,246","10,525","8,686","5,947","2,970","52,067"
INDIA,770,479,"1,795","9,697",579,731,"2,441",5,"16,497"
CHINA,"1,702",589,233,"2,418","1,412",270,668,17,"7,309"
PHILIPPINES,11, - ,30,54,24,"4,023",413,231,"4,786"
BRAZIL,163,22,236,103,"1,557",169,144,320,"2,714"
"KOREA, SOUTH",49,23,93,166,454,293,248,136,"1,462"
NIGERIA,63,4,17,46,734,368,49,18,"1,299"
IRAN,63,7,11,57,959,107,30,17,"1,251"
MEXICO,39,6,160,124,146,87,229,401,"1,192"
PAKISTAN,17,10,19,91,678,77,81,72,"1,045"
COLOMBIA,74,4,40,28,651,26,47,148,"1,018"
NEPAL,13,1,1,64,121,325,118,202,845
BANGLADESH,14,4,7,51,474,20,28,171,769
VIETNAM,5,1,10,31,81,42,57,501,728
CANADA,66,17,143,122,93,110,126,5,682
VENEZUELA,80,3,36,31,354,37,66,74,681
TAIWAN,20,13,23,150,121,59,124,13,523
KENYA,9, - ,6,12,30,438,13,9,517
UNITED KINGDOM,72,17,194,64,69,36,59,3,514
RUSSIA,201,9,28,43,142,22,37,7,489
GHANA,4, - ,8,16,82,230,11,7,358
FRANCE,31,12,100,76,53,36,45,2,355
TURKEY,39,15,32,47,108,25,45,22,333
ARGENTINA,61,4,54,20,92,25,23,14,293
GERMANY,32,21,54,35,48,24,22,2,238
JORDAN,1,2,2,14,31,162,9,3,224
THAILAND,5,1,4,9,17,103,12,62,213
ITALY,19,16,38,34,50,25,23,3,208
JAMAICA,3,1,1,3,16,113,67,2,206
SPAIN,24,8,51,22,45,12,33,6,201
EGYPT,9,10,11,24,89,32,22,1,198
UKRAINE,52,1,17,27,39,24,21,15,196
SOUTH AFRICA,16,3,63,16,21,31,13,23,186
PERU,18,1,13,19,89,8,13,24,185
JAPAN,17,10,25,23,32,26,39,3,175
LEBANON,16,3,7,21,39,36,17,10,149
KAZAKHSTAN,57, - ,3,9,66,2,8,3,148
POLAND,12,6,20,14,20,19,16,33,140
ISRAEL,22,4,38,19,23,13,14, - ,133
AUSTRALIA,18,4,28,23,8,28,21,2,132
ECUADOR,5,1,9,8,80,3,6,11,123
CHILE,12,2,15,17,41,9,15,3,114
SAUDI ARABIA,4, - ,3,14,28,42,15,4,110
SRI LANKA,3,2,7,23,47,3,14,10,109
UZBEKISTAN,42, - ,2,6,42,2,6,9,109
ZIMBABWE,2,2,5,6,8,50,9,21,103
IRELAND,6,3,30,10,8,9,35, - ,101
ETHIOPIA,7,3,1,8,29,8,10,23,89
ROMANIA,9,4,17,13,3,17,14,9,86
MONGOLIA,8, - , - ,4,23,5,8,37,85
HONG KONG,7,4,11,8,13,14,21,3,81
MALAYSIA,2, - ,13,11,8,10,31,2,77
GREECE,6,7,11,11,22,1,11,1,70
EL SALVADOR,5, - ,1,1,10,6,6,38,67
INDONESIA,1,1,6,18,10,10,19,1,66
DOMINICAN REPUBLIC,5, - ,7,4,24,4,6,15,65
SOVIET UNION,32, - ,2,2,24,3,1, - ,64
CAMBODIA,1, - ,1, - ,1,3,1,54,61
COSTA RICA, - ,1,15,9,14,3,12,5,59
NETHERLANDS,5,6,21,13,7, - ,4,2,58
UNITED ARAB EMIRATES,3,3,3,17,8,7,13,2,56
HONDURAS,2, - ,6,5,15,3,11,7,49
BELARUS,16, - ,6,4,10,5,6,2,49
SINGAPORE,5, - ,6,11,9,1,13,2,47
ARMENIA,19, - ,1,4,7,4,9,3,47
TRINIDAD AND TOBAGO,4,2,2,6,12,14,5,2,47
UNKNOWN,11, - ,2,4,17,3,3,6,46
KYRGYZSTAN,21, - , - ,1,17,1,5,1,46
CAMEROON,2, - , - ,6,18,13,3,1,43
SWEDEN,9, - ,11,2,7,9,4, - ,42
ALBANIA,3, - ,2,3,4,4,3,21,40
HUNGARY,5, - ,7,4,4,4,10,6,40
BELGIUM,4,3,11,5,10,3,3, - ,39
PORTUGAL,2, - ,9,4,10,5,8, - ,38
NIGER, - , - ,1,6,10,13,6, - ,36
MOROCCO,5, - ,3,11,3,4,8,2,36
UGANDA,5,2,2,4,7,11,3,2,36
GUATEMALA,3, - ,7,2,8,5,4,6,35
GEORGIA,21, - ,1, - ,5,1,6, - ,34
BULGARIA,4,1,8,4,6,3,7,1,34
HAITI, - , - , - ,1,3,24,1,1,30
KUWAIT,2, - , - ,6,9,6,4,2,29
SWITZERLAND,5,3,3,6,3,3,5, - ,28
NEW ZEALAND,3,1,11,2,1,3,6, - ,27
IRAQ,2, - ,2,5,15,2, - ,1,27
AZERBAIJAN,7,1, - ,2,12, - ,5, - ,27
"BAHAMAS, THE",2, - ,1,3,1,11,6,2,26
SERBIA,3,1,3,4,6,1,2,6,26
AUSTRIA,1,3,5,6,4,2,4, - ,25
SYRIA,3,1,1,4,5,2,6,2,24
TUNISIA, - ,4,2,5,9, - ,3,1,24
LIBYA, - , - ,3,2,12,3,2,1,23
ZAMBIA,1, - , - ,1,1,13,3,3,22
ALGERIA,2,3,3,1,7,2, - ,3,21
BOLIVIA,1, - ,1,1,14,1, - ,2,20
URUGUAY,4, - ,3,3,5,2,1,2,20
FINLAND, - ,1,11,3,1, - ,4, - ,20
MOLDOVA,5, - ,2,3,4,2,1,3,20
BURMA, - , - ,1,5, - ,4,4,5,19
TANZANIA,2, - ,2,3,4,3,2,2,18
DENMARK,3,2,6,1,3,2, - , - ,17
TAJIKISTAN,7, - ,1,1,4, - ,1,2,16
PANAMA, - , - ,4, - ,7,1,1,2,15
LITHUANIA,2, - ,3,2,2,1,3,2,15
RWANDA, - , - , - ,2,10, - ,2, - ,14
SLOVAKIA, - ,1,1,3,3, - ,5, - ,13
