Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,
Category and Form Number,Description,3rd Quarter,4th Quarter,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date
,,Forms Received1,Approved2,Denied3,Total Completions4,Pending5,Processing Time6,Forms Received,Approved,Denied,Total Completions,Pending
TOTAL,,"2,741,873","2,253,808","352,516","2,633,617","8,944,240", N/A ,"7,767,145","6,703,700","1,043,936","7,824,299","8,944,240"
Family Based,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e),"11,036","13,548","3,750","17,298","51,506",13.3,"34,355","29,763","9,868","39,631","51,506"
I-130,Petition for Alien Relative,"235,954","229,160","15,857","245,017","1,912,805",11.9,"690,306","586,020","43,172","629,192","1,912,805"
I-6007,Petition to Classify Orphan as an Immediate Relative,314,269,61,330,466,3.4,752,608,123,731,466
I-601A,Application for Provisional Unlawful Presence Waiver,"8,550","4,081",182,"4,263","138,216",43.4,"25,278","7,156",697,"7,853","138,216"
I-751,Petition to Remove Conditions on Residence,869,"30,927","1,390","32,317","217,706",21.4,"93,028","85,964","3,986","89,950","217,706"
I-8008,Petition to Classify Convention Adoptee as an Immediate Relative,576,702,36,738,405,1.6,"1,722","1,588",65,"1,653",405
Employment Based,,,,,,,,,,,,
I-129,Petition for a Nonimmigrant Worker,"180,888","125,772","34,472","160,244","91,729",1.9,"404,167","381,068","104,445","485,513","91,729"
I-140,Immigrant Petition for Alien Workers,"77,273","61,698","5,955","67,653","53,006",3.9,"205,440","190,926","18,088","209,014","53,006"
I-5269,Immigrant Petition by Alien Investor (Legacy), -   ,637,251,888,"10,802",48.2, -   ,"1,314",616,"1,930","10,802"
I-526,Immigrant Petition by Standalone Investor,50, N/A , N/A , N/A ,137, N/A ,129, N/A , N/A , N/A ,137
I-526E,Immigrant Petition by Regional Center Investor,649, N/A , N/A , N/A ,"1,761", N/A ,"1,558", N/A , N/A , N/A ,"1,761"
I-765,Application for Employment Authorization (Asylum),"308,543","315,383","53,513","368,896","363,769",0.9,"777,655","775,151","112,240","887,391","363,769"
I-765,Application for Employment Authorization (Adjustment Of Status),"178,023","164,609","35,193","199,802","306,962",5.1,"469,742","396,221","159,955","556,176","306,962"
I-765,Application for Employment Authorization (DACA),"98,109","86,420",611,"87,031","141,168",0.9,"246,667","233,746","1,819","235,565","141,168"
