country_code,country_name,uscis_country_label
ALL,All Countries,All Countries
INDIAN_NATIONALS,Indian Nationals,Indian Nationals
CHINESE_NATIONALS,Chinese Nationals,Chinese Nationals
BRAZIL,Brazil,Brazil
CHINA,China,China
INDIA,India,India
PHILIPPINES,Philippines,Philippines
SOUTH_KOREA,South Korea,South Korea
MEXICO,Mexico,Mexico
NIGERIA,Nigeria,Nigeria
ALL_COUNTRIES_FY24,All_Countries_FY24,All_Countries_FY24
INDIA_FY24,India_FY24,India_FY24
CHINA_FY24,China_FY24,China_FY24
PHILIPPINES_FY24,Philippines_FY24,Philippines_FY24
BRAZIL_FY24,Brazil_FY24,Brazil_FY24
NIGERIA_FY24,Nigeria_FY24,Nigeria_FY24
VIETNAM,Vietnam,Vietnam
