file_hash_sha256,source_name,form_type,report_family,report_title,file_name,source_url,local_path,report_fiscal_year,report_quarter,fiscal_year_label,published_date,snapshot_date,parser_version,parse_status,parse_notes
21130ec0fc297676ef09a7a04177e8f6edd60a530b062c7b7ba2600f90fd70eb,USCIS,ALL_FORMS,all_forms,ECN 1893 - Quarterly - All Forms FY17Q1 Final,ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv,local_hand://ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv,2017,1,"Fiscal Year 2017, Quarter 1",,2016-12-31,i140-mvp-2026-05-22,parsed,csv_source
5da4ac2f51da67af586cae3914d21af98bfc318ab4fdc71ece9e50ab98996eca,USCIS,I-140,fy_quarter_status,I-140 FY23 Q2,I-140_FY23_Q2.csv,local_hand://I-140_FY23_Q2.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I-140_FY23_Q2.csv,2023,2,"Fiscal Year 2023, Quarter 2",,2023-03-31,i140-mvp-2026-05-22,parsed,csv_source
a1571d2d4f96adc72377d066b1799fd4add6c783f0d31b96d4761de0e8a132f4,USCIS,I-140,preference_country,I140 by class country FY09 19,I140_by_class_country_FY09_19.pdf,local_hand://I140_by_class_country_FY09_19.pdf,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_by_class_country_FY09_19.pdf,2019,4,"Fiscal Year 2019, Quarter 4",,2019-09-30,i140-mvp-2026-05-22,parsed,pdf_text_source
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,USCIS,I-140,fy_quarter_status,i140 fy2024 q4,i140_fy2024_q4.xlsx,local_hand://i140_fy2024_q4.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2024_q4.xlsx,2024,4,"Fiscal Year 2024, Quarter 4",,2024-09-30,i140-mvp-2026-05-22,parsed,
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,USCIS,I-140,fy_quarter_status,i140 fy2025 q1,i140_fy2025_q1.xlsx,local_hand://i140_fy2025_q1.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2025_q1.xlsx,2025,1,"Fiscal Year 2025, Quarter 1",,2024-12-31,i140-mvp-2026-05-22,parsed,
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,USCIS,I-140,fy_quarter_status,i140 fy2025 q2,i140_fy2025_q2.xlsx,local_hand://i140_fy2025_q2.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2025_q2.xlsx,2025,2,"Fiscal Year 2025, Quarter 2",,2025-03-31,i140-mvp-2026-05-22,parsed,
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,USCIS,I-140,fy_quarter_status,i140 fy2025 q3 0,i140_fy2025_q3_0.xlsx,local_hand://i140_fy2025_q3_0.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2025_q3_0.xlsx,2025,3,"Fiscal Year 2025, Quarter 3",,2025-06-30,i140-mvp-2026-05-22,parsed,
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,USCIS,I-140,fy_quarter_status,i140 fy2025 q4 v1 (2),i140_fy2025_q4_v1 (2).xlsx,local_hand://i140_fy2025_q4_v1 (2).xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2025_q4_v1 (2).xlsx,2025,4,"Fiscal Year 2025, Quarter 4",,2025-09-30,i140-mvp-2026-05-22,parsed,
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,USCIS,I-140,fy_quarter_status,i140 fy2026 q1 v1,i140_fy2026_q1_v1.xlsx,local_hand://i140_fy2026_q1_v1.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy2026_q1_v1.xlsx,2026,1,"Fiscal Year 2026, Quarter 1",,2025-12-31,i140-mvp-2026-05-22,parsed,
7a1803a4a4ca18d0b0a90e0e2ea8cb232b13ab1e6b04c82aca2072b591ead1eb,USCIS,I-140,country_category,I140 FY22 Q3 App COB,I140_FY22_Q3_App_COB.csv,local_hand://I140_FY22_Q3_App_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q3_App_COB.csv,2022,3,"Fiscal Year 2022, Quarter 3",,2022-06-30,i140-mvp-2026-05-22,parsed,csv_source
c0c830145699b12d634106a7c280f162348f2a185f0f2894d59a62ef5ad05db4,USCIS,I-140,fy_quarter_status,I140 FY22 Q3 RADP Summary,I140_FY22_Q3_RADP_Summary.csv,local_hand://I140_FY22_Q3_RADP_Summary.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q3_RADP_Summary.csv,2022,3,"Fiscal Year 2022, Quarter 3",,2022-06-30,i140-mvp-2026-05-22,parsed,csv_source
76e601d1ca8f7a8bb7547a06a882b30dc592bf6bcc915b42cf24dd7cb892a81b,USCIS,I-140,country_category,I140 FY22 Q3 Rec COB,I140_FY22_Q3_Rec_COB.csv,local_hand://I140_FY22_Q3_Rec_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q3_Rec_COB.csv,2022,3,"Fiscal Year 2022, Quarter 3",,2022-06-30,i140-mvp-2026-05-22,parsed,csv_source
03156389d25fde1abf59a8883e1f351cffb131e08b878ca4a1b11802468a78aa,USCIS,I-140,country_category,I140 FY22 Q4 App COB,I140_FY22_Q4_App_COB.csv,local_hand://I140_FY22_Q4_App_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q4_App_COB.csv,2022,4,"Fiscal Year 2022, Quarter 4",,2022-09-30,i140-mvp-2026-05-22,parsed,csv_source
1a9fb4717206fd73d96c878ee6346426734572fba2fee0e5db21875ebf2a6671,USCIS,I-140,fy_quarter_status,I140 FY22 Q4 RADP,I140_FY22_Q4_RADP.csv,local_hand://I140_FY22_Q4_RADP.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q4_RADP.csv,2022,4,"Fiscal Year 2022, Quarter 4",,2022-09-30,i140-mvp-2026-05-22,parsed,csv_source
e49dfbb4891fc2eddf09d73b19bfe339b745db016e107968d029e99c4a00da9e,USCIS,I-140,country_category,I140 FY22 Q4 REC COB,I140_FY22_Q4_REC_COB.csv,local_hand://I140_FY22_Q4_REC_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY22_Q4_REC_COB.csv,2022,4,"Fiscal Year 2022, Quarter 4",,2022-09-30,i140-mvp-2026-05-22,parsed,csv_source
e9da7c358355e7fc6842a95137044abd167f66c46c4419a1997fc5d2785f39f4,USCIS,I-140,fy_quarter_status,I140 FY23 Q1 RADP,I140_FY23_Q1_RADP.csv,local_hand://I140_FY23_Q1_RADP.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY23_Q1_RADP.csv,2023,1,"Fiscal Year 2023, Quarter 1",,2022-12-31,i140-mvp-2026-05-22,parsed,csv_source
0ef20b670be8bccabefd90de48b3ad6ba7b978d95ec3e60abcb4f532a204c1b2,USCIS,I-140,country_category,I140 FY23 Q1 REC COB,I140_FY23_Q1_REC_COB.csv,local_hand://I140_FY23_Q1_REC_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY23_Q1_REC_COB.csv,2023,1,"Fiscal Year 2023, Quarter 1",,2022-12-31,i140-mvp-2026-05-22,parsed,csv_source
0ec94d473388c527b95018012e5bde8e9a12da52bf63d3c392d7980d8349f837,USCIS,I-140,country_category,I140 FY23 Q2 App COB,I140_FY23_Q2_App_COB.csv,local_hand://I140_FY23_Q2_App_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY23_Q2_App_COB.csv,2023,2,"Fiscal Year 2023, Quarter 2",,2023-03-31,i140-mvp-2026-05-22,parsed,csv_source
1b851a5118ff95800a00ec4ffc2a09d1eadecfaf9213961127a988fc27429bf6,USCIS,I-140,country_category,I140 FY23 Q2 REC COB,I140_FY23_Q2_REC_COB.csv,local_hand://I140_FY23_Q2_REC_COB.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_FY23_Q2_REC_COB.csv,2023,2,"Fiscal Year 2023, Quarter 2",,2023-03-31,i140-mvp-2026-05-22,parsed,csv_source
32d38281590a8fe206f0c354df8ae78da080f7bdb0ac133131a88ae95e450eb7,USCIS,I-140,country_category,i140 fy23 q3 app cob,i140_fy23_q3_app_cob.csv,local_hand://i140_fy23_q3_app_cob.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy23_q3_app_cob.csv,2023,3,"Fiscal Year 2023, Quarter 3",,2023-06-30,i140-mvp-2026-05-22,parsed,csv_source
bcc5eaba57845418e79c704bfd827127ba7205c8ba78164f5147c05f7b9c1876,USCIS,I-140,fy_quarter_status,i140 fy23 q3 radp,i140_fy23_q3_radp.csv,local_hand://i140_fy23_q3_radp.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy23_q3_radp.csv,2023,3,"Fiscal Year 2023, Quarter 3",,2023-06-30,i140-mvp-2026-05-22,parsed,csv_source
aae5687aee6e6193bda6483d50e20356bed969483c59eca78435934d4bf582c9,USCIS,I-140,country_category,i140 fy23 q3 rec cob,i140_fy23_q3_rec_cob.csv,local_hand://i140_fy23_q3_rec_cob.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy23_q3_rec_cob.csv,2023,3,"Fiscal Year 2023, Quarter 3",,2023-06-30,i140-mvp-2026-05-22,parsed,csv_source
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,USCIS,I-140,fy_quarter_status,i140 fy24 q2,i140_fy24_q2.xlsx,local_hand://i140_fy24_q2.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy24_q2.xlsx,2024,2,"Fiscal Year 2024, Quarter 2",,2024-03-31,i140-mvp-2026-05-22,parsed,
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,USCIS,I-140,fy_quarter_status,i140 fy24 q3,i140_fy24_q3.xlsx,local_hand://i140_fy24_q3.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_fy24_q3.xlsx,2024,3,"Fiscal Year 2024, Quarter 3",,2024-06-30,i140-mvp-2026-05-22,parsed,
9729b137fb0a6867bc67e864c124162b7670de6425891ef04490bee85a1fbe13,USCIS,I-140,preference_country,I140 rec by class country FY2020 Q1 Q2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,local_hand://I140_rec_by_class_country_FY2020_Q1_Q2.pdf,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2020_Q1_Q2.pdf,2020,2,"Fiscal Year 2020, Quarter 2",,2020-03-31,i140-mvp-2026-05-22,parsed,pdf_text_source
fd49158ac81ad27dfd3f0253bc56829c17269129576254c03ad3384fb1c6bb1f,USCIS,I-140,preference_country,I140 rec by class country FY2020 Q3 Q4,I140_rec_by_class_country_FY2020_Q3_Q4.pdf,local_hand://I140_rec_by_class_country_FY2020_Q3_Q4.pdf,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2020_Q3_Q4.pdf,2020,4,"Fiscal Year 2020, Quarter 4",,2020-09-30,i140-mvp-2026-05-22,parsed,pdf_text_source
37c0fed51d0b38894379ec3cb9a973f0d812471b0a0e57bb2413f53840fe8482,USCIS,I-140,preference_country,I140 rec by class country FY2021 Q1 Q2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,local_hand://I140_rec_by_class_country_FY2021_Q1_Q2.pdf,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2021_Q1_Q2.pdf,2021,2,"Fiscal Year 2021, Quarter 2",,2021-03-31,i140-mvp-2026-05-22,parsed,pdf_text_source
8e877617015fc6a65c22346828d9e321a0cbd6e927a80aa0648780ba01aea1a4,USCIS,I-140,preference_country,I140 rec by class country FY2021 Q3 Q4,I140_rec_by_class_country_FY2021_Q3_Q4.csv,local_hand://I140_rec_by_class_country_FY2021_Q3_Q4.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2021_Q3_Q4.csv,2021,4,"Fiscal Year 2021, Quarter 4",,2021-09-30,i140-mvp-2026-05-22,parsed,csv_source
058bf7c68fb3b3cae4c9e0006bd4d26e99b393ec2c7938e68d5910d848391862,USCIS,I-140,preference_country,I140 rec by class country FY2022 Q1 Q2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,local_hand://I140_rec_by_class_country_FY2022_Q1_Q2.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2022_Q1_Q2.csv,2022,2,"Fiscal Year 2022, Quarter 2",,2022-03-31,i140-mvp-2026-05-22,parsed,csv_source
3eb35c36cd80f317bf1391085cce2aa957a35c4e90b0879f88af76b914b30bb6,USCIS,I-140,preference_country,I140 rec by class country FY2022 Q3 Q4,I140_rec_by_class_country_FY2022_Q3_Q4.csv,local_hand://I140_rec_by_class_country_FY2022_Q3_Q4.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2022_Q3_Q4.csv,2022,4,"Fiscal Year 2022, Quarter 4",,2022-09-30,i140-mvp-2026-05-22,parsed,csv_source
3e8eee6c7797e6afff0c4f499339e65b186496a17e25b0fe0847fe24ff18fe96,USCIS,I-140,preference_country,I140 rec by class country FY2023 Q1 (1),I140_rec_by_class_country_FY2023_Q1 (1).csv,local_hand://I140_rec_by_class_country_FY2023_Q1 (1).csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2023_Q1 (1).csv,2023,1,"Fiscal Year 2023, Quarter 1",,2022-12-31,i140-mvp-2026-05-22,parsed,csv_source
76327962576cc0afa83571c74d35e1b634513424ed9b01ab86cb7faa0c474d7b,USCIS,I-140,preference_country,I140 rec by class country FY2023 Q1 Q2,I140_rec_by_class_country_FY2023_Q1_Q2.csv,local_hand://I140_rec_by_class_country_FY2023_Q1_Q2.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\I140_rec_by_class_country_FY2023_Q1_Q2.csv,2023,2,"Fiscal Year 2023, Quarter 2",,2023-03-31,i140-mvp-2026-05-22,parsed,csv_source
0c347823463b0dce8daf46dd7295411e0f9dd17427b2a351285814ff7bf919fe,USCIS,I-140,preference_country,i140 rec by class country fy2023 q1 q2 q3,i140_rec_by_class_country_fy2023_q1_q2_q3.csv,local_hand://i140_rec_by_class_country_fy2023_q1_q2_q3.csv,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2023_q1_q2_q3.csv,2023,2,"Fiscal Year 2023, Quarter 2",,2023-03-31,i140-mvp-2026-05-22,parsed,csv_source
893ad7ea8e49c19d89c7301b5f03dabd23dcb5209af066763323edbf2f66fb0d,USCIS,I-140,preference_country,i140 rec by class country fy2024 q1 (1),i140_rec_by_class_country_fy2024_q1 (1).xlsx,local_hand://i140_rec_by_class_country_fy2024_q1 (1).xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2024_q1 (1).xlsx,2024,1,"Fiscal Year 2024, Quarter 1",,2023-12-31,i140-mvp-2026-05-22,parsed,
1304f86bb74b07863108778f053716ee2897847b8e68c6b1d8ec4c335cc39104,USCIS,I-140,preference_country,i140 rec by class country fy2024 q2,i140_rec_by_class_country_fy2024_q2.xlsx,local_hand://i140_rec_by_class_country_fy2024_q2.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2024_q2.xlsx,2024,2,"Fiscal Year 2024, Quarter 2",,2024-03-31,i140-mvp-2026-05-22,parsed,
a4196aaee8c9866d1d05c5de115e1403c9d6dbdf66ecd8f2fb044b1d06ebfcd8,USCIS,I-140,preference_country,i140 rec by class country fy2024 q3,i140_rec_by_class_country_fy2024_q3.xlsx,local_hand://i140_rec_by_class_country_fy2024_q3.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2024_q3.xlsx,2024,3,"Fiscal Year 2024, Quarter 3",,2024-06-30,i140-mvp-2026-05-22,parsed,
7cd1708a2c89b8043ca09b35fec67676ccb2beb71d8c018891997e2765669a09,USCIS,I-140,preference_country,i140 rec by class country fy2024 q4,i140_rec_by_class_country_fy2024_q4.xlsx,local_hand://i140_rec_by_class_country_fy2024_q4.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2024_q4.xlsx,2024,4,"Fiscal Year 2024, Quarter 4",,2024-09-30,i140-mvp-2026-05-22,parsed,
0157e9f3c41da1665fd8a4c3b3f5b5e2fcf496e7feab15a7c2bb5f88829a56b6,USCIS,I-140,preference_country,i140 rec by class country fy2025 q1,i140_rec_by_class_country_fy2025_q1.xlsx,local_hand://i140_rec_by_class_country_fy2025_q1.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2025_q1.xlsx,2025,1,"Fiscal Year 2025, Quarter 1",,2024-12-31,i140-mvp-2026-05-22,parsed,
373440cfa8a017c64aca03d54339aa26ea32e5ada8d717753e2a2a8dcba06a7a,USCIS,I-140,preference_country,i140 rec by class country fy2025 q2,i140_rec_by_class_country_fy2025_q2.xlsx,local_hand://i140_rec_by_class_country_fy2025_q2.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2025_q2.xlsx,2025,2,"Fiscal Year 2025, Quarter 2",,2025-03-31,i140-mvp-2026-05-22,parsed,
e61546dd7561571bf0472944d293f0779b94a02eebf3f2d2128bd38caa02b8da,USCIS,I-140,preference_country,i140 rec by class country fy2025 q3,i140_rec_by_class_country_fy2025_q3.xlsx,local_hand://i140_rec_by_class_country_fy2025_q3.xlsx,C:\Users\kelav\OneDrive\Документы\projects\uscis_analysis\data\raw\raw_by_hands\i140_rec_by_class_country_fy2025_q3.xlsx,2025,3,"Fiscal Year 2025, Quarter 3",,2025-06-30,i140-mvp-2026-05-22,parsed,
