file_hash_sha256,sheet_index,sheet_name,max_row,max_column,detected_table_type,detection_confidence
21130ec0fc297676ef09a7a04177e8f6edd60a530b062c7b7ba2600f90fd70eb,0,CSV,79,85,all_forms,0.8500
5da4ac2f51da67af586cae3914d21af98bfc318ab4fdc71ece9e50ab98996eca,0,CSV,34,21,fy_quarter_status,0.8500
a1571d2d4f96adc72377d066b1799fd4add6c783f0d31b96d4761de0e8a132f4,0,PDF Text,154,1,preference_country,0.7000
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,0,RADP Summary,35,21,fy_quarter_status,0.9500
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,1,Rec-State,72,10,fy_quarter_status,0.9500
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,2,Rec-COB,197,10,fy_quarter_status,0.9500
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,3,App-State,75,10,fy_quarter_status,0.9500
6c62cb159d9a6896fc51eba1f00622732e98fad8c001c60ddcdcff412c05e02e,4,App-COB,192,10,fy_quarter_status,0.9500
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,0,RADP Summary,35,21,fy_quarter_status,0.9500
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,1,Rec-State,72,10,fy_quarter_status,0.9500
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,2,Rec-COB,197,10,fy_quarter_status,0.9500
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,3,App-State,76,10,fy_quarter_status,0.9500
252a02c51deafc187d4193d5748a7e01011590d9157f5ad94ff908f5a556a4de,4,App-COB,196,10,fy_quarter_status,0.9500
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,0,RADP Summary,35,21,fy_quarter_status,0.9500
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,1,Rec-State,72,10,fy_quarter_status,0.9500
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,2,Rec-COB,199,10,fy_quarter_status,0.9500
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,3,App-State,75,10,fy_quarter_status,0.9500
d4ce8b3fc8479ac297777d03b0a8a6410b245d2223e2c02352c347608b7eba27,4,App-COB,195,10,fy_quarter_status,0.9500
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,0,RADP Summary,35,21,fy_quarter_status,0.9500
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,1,Rec-State,72,10,fy_quarter_status,0.9500
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,2,Rec-COB,201,10,fy_quarter_status,0.9500
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,3,App-State,75,10,fy_quarter_status,0.9500
