fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2022,1,E11,Aliens with Extraordinary Ability,2448,1391,492,5925,0.568218954248366,0.2009803921568627,0.7387148167817312,0.2612851832182687,2.420343137254902,4,I140_FY22_Q4_RADP.csv,2022Q1,2022 Q1,1883,0.7387148167817312,0.2612851832182687,0.568218954248366,0.20098039215686275
2022,1,EB1,First Preference,6263,4671,650,19385,0.7458087178668369,0.1037841290116557,0.8778425108062394,0.1221574891937605,3.0951620629091487,4,I140_FY22_Q4_RADP.csv,2022Q1,2022 Q1,5321,0.8778425108062394,0.12215748919376057,0.745808717866837,0.10378412901165576
2022,1,EB2,Second Preference,21624,19903,478,40182,0.9204125046244912,0.0221050684424713,0.9765467837691968,0.0234532162308031,1.8582130965593784,4,I140_FY22_Q4_RADP.csv,2022Q1,2022 Q1,20381,0.9765467837691968,0.0234532162308032,0.9204125046244913,0.02210506844247133
2022,1,NIW,National Interest Waiver,4883,3578,252,20584,0.7327462625435183,0.0516076182674585,0.9342036553524804,0.0657963446475195,4.215441327053041,4,I140_FY22_Q4_RADP.csv,2022Q1,2022 Q1,3830,0.9342036553524804,0.06579634464751959,0.7327462625435184,0.05160761826745853
2022,1,TOTAL,Total,42526,38527,1470,101567,0.9059634106193856,0.034567088369468,0.9632472435432656,0.0367527564567342,2.388350656069228,4,I140_FY22_Q4_RADP.csv,2022Q1,2022 Q1,39997,0.9632472435432657,0.03675275645673425,0.9059634106193858,0.03456708836946809
2022,2,E11,Aliens with Extraordinary Ability,2383,1384,452,6063,0.580780528745279,0.1896768778850188,0.7538126361655773,0.2461873638344226,2.5442719261435167,4,I140_FY22_Q4_RADP.csv,2022Q2,2022 Q2,1836,0.7538126361655774,0.24618736383442266,0.5807805287452791,0.18967687788501889
2022,2,EB1,First Preference,6046,4350,580,20094,0.7194839563347667,0.0959311941779689,0.8823529411764705,0.1176470588235294,3.3235196824346676,4,I140_FY22_Q4_RADP.csv,2022Q2,2022 Q2,4930,0.8823529411764706,0.11764705882352941,0.7194839563347668,0.0959311941779689
2022,2,EB2,Second Preference,21764,20057,307,40511,0.92156772652086,0.0141058628928505,0.9849243763504224,0.0150756236495776,1.8613765851865465,4,I140_FY22_Q4_RADP.csv,2022Q2,2022 Q2,20364,0.9849243763504223,0.015075623649577687,0.9215677265208602,0.014105862892850578
2022,2,NIW,National Interest Waiver,4845,3470,161,21045,0.7162022703818369,0.0332301341589267,0.9556595979069126,0.0443404020930873,4.343653250773993,4,I140_FY22_Q4_RADP.csv,2022Q2,2022 Q2,3631,0.9556595979069127,0.0443404020930873,0.7162022703818369,0.03323013415892673
2022,2,TOTAL,Total,40977,36991,1120,97010,0.9027259194182102,0.0273324059838445,0.970612159219123,0.0293878407808769,2.3674256290113966,4,I140_FY22_Q4_RADP.csv,2022Q2,2022 Q2,38111,0.9706121592191231,0.029387840780876914,0.9027259194182102,0.027332405983844597
