fiscal_year,snapshot_type,is_actual,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_family,source_report_fiscal_year,source_report_quarter,source_file_names,decided,approval_decided,denial_decided,approval_received,denial_received
2009,historic,f,EB1,First Preference,17238,13546,3630,62,0.7858220211161387,0.2105812739296902,0.7886585933861201,0.2113414066138798,0.003596704954171,preference_country,2019,4,I140_by_class_country_FY09_19.pdf,17176,0.7886585933861202,0.21134140661387985,0.7858220211161387,0.21058127392969023
2009,historic,f,EB2,Second Preference,19715,18270,1341,104,0.9267055541465888,0.0680192746639614,0.9316200091785222,0.0683799908214777,0.0052751711894496,preference_country,2019,4,I140_by_class_country_FY09_19.pdf,19611,0.9316200091785223,0.06837999082147775,0.9267055541465888,0.06801927466396145
2009,historic,f,TOTAL,Total,57034,48375,8043,616,0.8481782796226812,0.1410211452817617,0.8574391151760076,0.1425608848239923,0.010800575095557,preference_country,2019,4,I140_by_class_country_FY09_19.pdf,56418,0.8574391151760077,0.14256088482399235,0.8481782796226812,0.14102114528176177
2010,historic,f,EB1,First Preference,17596,14269,3251,76,0.8109229370311434,0.1847578995226187,0.8144406392694064,0.1855593607305936,0.0043191634462377,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,17520,0.8144406392694064,0.18555936073059362,0.8109229370311435,0.18475789952261878
2010,historic,f,EB2,Second Preference,38398,35907,2317,174,0.9351268295223708,0.0603416844627324,0.9393836333193804,0.0606163666806195,0.0045314860148966,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,38224,0.9393836333193805,0.0606163666806195,0.9351268295223709,0.060341684462732435
2010,historic,f,TOTAL,Total,79639,70397,8546,696,0.8839513303783322,0.1073092329135222,0.8917446765387684,0.1082553234612315,0.0087394367081455,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,78943,0.8917446765387684,0.10825532346123153,0.8839513303783322,0.10730923291352228
2011,historic,f,EB1,First Preference,17109,13972,2987,150,0.816646209597288,0.1745864749547022,0.8238693319181555,0.1761306680818444,0.0087673154480098,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,16959,0.8238693319181556,0.17613066808184444,0.816646209597288,0.1745864749547022
2011,historic,f,EB2,Second Preference,47384,43675,3481,228,0.9217246327874388,0.0734636164106027,0.9261811858512172,0.0738188141487827,0.0048117508019584,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,47156,0.9261811858512172,0.07381881414878276,0.9217246327874388,0.07346361641060274
2011,historic,f,TOTAL,Total,84628,74646,9300,682,0.8820484945880795,0.1098927069055159,0.8892144950325209,0.110785504967479,0.0080587985064044,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,83946,0.8892144950325209,0.11078550496747909,0.8820484945880795,0.1098927069055159
2012,historic,f,EB1,First Preference,17611,14991,2477,143,0.8512293452955539,0.1406507296576003,0.8581978474925578,0.1418021525074421,0.0081199250468457,preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,17468,0.8581978474925578,0.1418021525074422,0.8512293452955539,0.14065072965760037
2012,historic,f,EB2,Second Preference,45516,42289,2994,233,0.9291018542929959,0.0657790667018191,0.93388247245103,0.0661175275489698,0.0051190790051849,preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,45283,0.9338824724510302,0.06611752754896981,0.9291018542929959,0.06577906670181914
2012,historic,f,TOTAL,Total,74312,67017,6772,523,0.9018328130046293,0.0911292927118096,0.9082248031549416,0.0917751968450582,0.0070378942835612,preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,73789,0.9082248031549418,0.09177519684505821,0.9018328130046291,0.09112929271180967
2013,historic,f,EB1,First Preference,20024,17602,2405,17,0.8790451458250099,0.120105872952457,0.8797920727745289,0.120207927225471,0.0008489812225329,preference_country,2023,4,i140_rec_by_class_country_fy2023_q4.csv,20007,0.8797920727745289,0.12020792722547108,0.87904514582501,0.12010587295245705
2013,historic,f,EB2,Second Preference,40761,38272,2483,6,0.9389367287358013,0.0609160717352371,0.9390749601275916,0.0609250398724082,0.0001471995289615,preference_country,2023,4,i140_rec_by_class_country_fy2023_q4.csv,40755,0.9390749601275917,0.06092503987240829,0.9389367287358014,0.060916071735237116
2013,historic,f,TOTAL,Total,71573,64505,6522,546,0.9012476771967082,0.0911237477819848,0.9081757641460289,0.091824235853971,0.0076285750213069,preference_country,2023,4,i140_rec_by_class_country_fy2023_q4.csv,71027,0.908175764146029,0.09182423585397102,0.9012476771967083,0.09112374778198483
2014,historic,f,EB1,First Preference,22848,19839,2764,245,0.8683035714285714,0.1209733893557422,0.8777153475202406,0.1222846524797593,0.0107230392156862,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,22603,0.8777153475202407,0.12228465247975932,0.8683035714285714,0.1209733893557423
2014,historic,f,EB2,Second Preference,49194,45868,3126,200,0.9323901288775052,0.0635443346749603,0.9361962689308894,0.0638037310691105,0.0040655364475342,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,48994,0.9361962689308895,0.0638037310691105,0.9323901288775054,0.06354433467496036
2014,historic,f,TOTAL,Total,86996,79327,6988,681,0.9118465216791576,0.0803255322083773,0.9190407229334414,0.0809592770665585,0.0078279461124649,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,86315,0.9190407229334414,0.08095927706655853,0.9118465216791577,0.08032553220837739
2015,historic,f,EB1,First Preference,24758,21807,2740,211,0.8808062040552548,0.1106712981662492,0.8883773984600969,0.111622601539903,0.0085224977784958,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,24547,0.888377398460097,0.11162260153990304,0.8808062040552549,0.1106712981662493
2015,historic,f,EB2,Second Preference,58775,54887,3699,189,0.9338494257762654,0.0629349213100808,0.9368620489536748,0.063137951046325,0.0032156529136537,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,58586,0.936862048953675,0.06313795104632507,0.9338494257762654,0.06293492131008081
2015,historic,f,TOTAL,Total,102905,93989,8201,715,0.9133569797385938,0.0796948641951314,0.9197475291124376,0.0802524708875623,0.0069481560662747,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,102190,0.9197475291124376,0.08025247088756238,0.9133569797385939,0.07969486419513143
